position_mm,fwhm_over_2p355sigma
-690.0,0.9044663006171315
-670.0,0.9130609001771601
-650.0,0.9647944550866202
-600.0,0.8010059688720673
-550.0,0.8287023437931793
-500.0,0.8887897773242468
-450.0,0.9316220566094155
-400.0,0.8612843396232354
-350.0,0.9130716645923644
-300.0,0.95159779274054
-250.0,0.940994020494946
-200.0,0.9488389304846646
-150.0,0.9248300493503232
-100.0,0.9164311965319694
-50.0,0.9426984240713371
0.0,0.8984990131918652
50.0,0.9485482911429264
100.0,0.8470961664530617
150.0,0.7834246327777318
200.0,0.9919203349821522
250.0,0.8125036071046883
300.0,0.9804486380122904
350.0,0.9006740040803327
400.0,0.9220051460631835
450.0,0.8422939283374313
500.0,0.9877033138708616
550.0,0.9097855230263968
600.0,0.9974706822318452
650.0,0.895113916035816
670.0,0.9609753787785796
690.0,0.9389130802121787
