clock,material,x_mm,N,mean_T0_ns,sem_T0_ns,mean_Npe_END,sem_Npe_END,max_T0_identity_difference_ns,slope_ns_pe,slope_error_ns_pe,chi2,ndf,chi2_ndf,status,covariance_status,fit_reliable
time_ns,EJ-200,-650,10000,4.095500196364004,0.0008081554112360507,2589.0144,6.284076409536733,0.0,-3.224026670810268e-05,9.13969101567467e-07,80.81896680696688,26,3.108421800267957,0,3,True
time_ns,EJ-200,-500,10000,4.121528349772483,0.0008137965953251978,1657.5541,4.073995769692471,0.0,-2.975477285496545e-05,5.201460875815673e-07,897.7092680070655,27,33.24849140766909,0,3,False
time_ns,EJ-200,-200,10000,4.12656252105568,0.0007732644430818922,1140.1472,2.8653902560293485,0.0,-9.23115835337748e-05,1.7057648543604759e-06,187.4327872198546,22,8.519672146357026,0,3,False
time_ns,EJ-200,0,10000,4.127569435902669,0.0007691593033674502,1056.8094,2.6171652188087506,0.0,-7.45942332391947e-05,1.0553934156439712e-06,497.02026579124043,30,16.56734219304135,0,3,False
time_ns,EJ-200,200,10000,4.125869270323111,0.0007883834294856338,1138.3405,2.8681268680356724,0.0,-9.718542848440499e-05,1.9779666981855625e-06,215.9801910489547,30,7.199339701631824,0,3,False
time_ns,EJ-200,500,10000,4.121082665664919,0.0008186188583980388,1656.2349,4.1400660365358535,0.0,-6.871192884176977e-05,1.3390469683512941e-06,103.14850763336194,25,4.125940305334478,0,3,True
time_ns,EJ-200,650,10000,4.095793724499699,0.0008142238043876004,2602.5408,6.511243093465197,0.0,-3.3481412127288e-05,9.293503170106893e-07,114.03192036912344,27,4.223404458115683,0,3,True
time_ns,EJ-204,-650,10000,4.102696006302241,0.0008478109690818314,2546.4486,6.354685176952028,0.0,-3.4999027433970367e-05,1.0675841200303182e-06,113.76299388925177,28,4.062964067473278,0,3,True
time_ns,EJ-204,-500,10000,4.118338209834222,0.0008221220305177549,1472.8763,3.7138017868758455,0.0,-6.364147221421868e-05,1.564141435790451e-06,98.49655013632587,24,4.104022922346911,0,3,True
time_ns,EJ-204,-200,10000,4.117653428748923,0.0007447605937798665,882.5701,2.1690452379614937,0.0,-0.0001108586715943315,2.6462538720301187e-06,148.6878647098482,29,5.127167748615456,0,3,False
time_ns,EJ-204,0,10000,4.116489049360844,0.0007244280300217338,796.2842,2.013071158351055,0.0,-0.0001225421876852081,2.8034493535703622e-06,88.11881667880284,23,3.8312528990783847,0,3,True
time_ns,EJ-204,200,10000,4.115937002991685,0.0007403712476730314,882.2443,2.2240750105867098,0.0,-0.0001113284367639173,2.360978720692805e-06,156.6761976527125,28,5.595578487596875,0,3,False
time_ns,EJ-204,500,10000,4.118512193530397,0.0008212553417038321,1474.5422,3.753953545082553,0.0,-5.281551653592128e-05,1.2293373035537733e-06,384.887795204987,32,12.027743600155844,0,3,False
time_ns,EJ-204,650,10000,4.101668024248289,0.0008502672416766983,2535.6018,6.210728744586248,0.0,-3.413555984580163e-05,1.052017468093706e-06,81.44157654411501,23,3.540938110613696,0,3,True
time_ns,EJ-230,-650,10000,4.099492520400314,0.0008504963999268656,2249.6033,5.491302365839848,0.0,-2.9330909837484953e-05,4.794032965567395e-07,144.51286517346537,33,4.379177732529254,0,3,True
time_ns,EJ-230,-500,10000,4.105572584088892,0.000792263702537696,1237.9344,3.066032322902762,0.0,-6.854872141472934e-05,8.160177201660014e-07,110.68535067402053,27,4.099457432371131,0,3,True
time_ns,EJ-230,-200,10000,4.100646665281805,0.0006921585969451587,684.2922,1.680995489732096,0.0,-9.655935708622088e-05,2.189686385143006e-06,330.8920582522287,32,10.340376820382147,0,3,False
time_ns,EJ-230,0,10000,4.0998209443477664,0.0006777496828465211,608.5049,1.5318625388339477,0.0,-9.665958395675005e-05,2.407814820532679e-06,528.4193678669137,28,18.872120280961205,0,3,False
time_ns,EJ-230,200,10000,4.102352726761383,0.0007010853557837843,684.2388,1.6822116100675635,0.0,-9.826686581622599e-05,2.3325177169936107e-06,307.76718336159337,27,11.398784568947903,0,3,False
time_ns,EJ-230,500,10000,4.107847017914295,0.0008051659253810006,1240.6965,3.065891173483456,0.0,-2.1135278150001113e-05,3.869468551037159e-07,775.5874270436506,34,22.811394913048545,0,3,False
time_ns,EJ-230,650,10000,4.100537129589662,0.0008550034799310938,2252.0272,5.540369373543205,0.0,-2.2037038173469227e-05,6.994156339891425e-07,312.0302502434923,34,9.177360301279185,0,3,False
t_detection_ns,EJ-200,-650,10000,4.095500196364004,0.0008081554112360507,2589.0144,6.284076409536733,0.0,-3.224026670810268e-05,9.13969101567467e-07,80.81896680696688,26,3.108421800267957,0,3,True
t_detection_ns,EJ-200,-500,10000,4.121528349772483,0.0008137965953251978,1657.5541,4.073995769692471,0.0,-2.975477285496545e-05,5.201460875815673e-07,897.7092680070655,27,33.24849140766909,0,3,False
t_detection_ns,EJ-200,-200,10000,4.12656252105568,0.0007732644430818922,1140.1472,2.8653902560293485,0.0,-9.23115835337748e-05,1.7057648543604759e-06,187.4327872198546,22,8.519672146357026,0,3,False
t_detection_ns,EJ-200,0,10000,4.127569435902669,0.0007691593033674502,1056.8094,2.6171652188087506,0.0,-7.45942332391947e-05,1.0553934156439712e-06,497.02026579124043,30,16.56734219304135,0,3,False
t_detection_ns,EJ-200,200,10000,4.125869270323111,0.0007883834294856338,1138.3405,2.8681268680356724,0.0,-9.718542848440499e-05,1.9779666981855625e-06,215.9801910489547,30,7.199339701631824,0,3,False
t_detection_ns,EJ-200,500,10000,4.121082665664919,0.0008186188583980388,1656.2349,4.1400660365358535,0.0,-6.871192884176977e-05,1.3390469683512941e-06,103.14850763336194,25,4.125940305334478,0,3,True
t_detection_ns,EJ-200,650,10000,4.095793724499699,0.0008142238043876004,2602.5408,6.511243093465197,0.0,-3.3481412127288e-05,9.293503170106893e-07,114.03192036912344,27,4.223404458115683,0,3,True
t_detection_ns,EJ-204,-650,10000,4.102696006302241,0.0008478109690818314,2546.4486,6.354685176952028,0.0,-3.4999027433970367e-05,1.0675841200303182e-06,113.76299388925177,28,4.062964067473278,0,3,True
t_detection_ns,EJ-204,-500,10000,4.118338209834222,0.0008221220305177549,1472.8763,3.7138017868758455,0.0,-6.364147221421868e-05,1.564141435790451e-06,98.49655013632587,24,4.104022922346911,0,3,True
t_detection_ns,EJ-204,-200,10000,4.117653428748923,0.0007447605937798665,882.5701,2.1690452379614937,0.0,-0.0001108586715943315,2.6462538720301187e-06,148.6878647098482,29,5.127167748615456,0,3,False
t_detection_ns,EJ-204,0,10000,4.116489049360844,0.0007244280300217338,796.2842,2.013071158351055,0.0,-0.0001225421876852081,2.8034493535703622e-06,88.11881667880284,23,3.8312528990783847,0,3,True
t_detection_ns,EJ-204,200,10000,4.115937002991685,0.0007403712476730314,882.2443,2.2240750105867098,0.0,-0.0001113284367639173,2.360978720692805e-06,156.6761976527125,28,5.595578487596875,0,3,False
t_detection_ns,EJ-204,500,10000,4.118512193530397,0.0008212553417038321,1474.5422,3.753953545082553,0.0,-5.281551653592128e-05,1.2293373035537733e-06,384.887795204987,32,12.027743600155844,0,3,False
t_detection_ns,EJ-204,650,10000,4.101668024248289,0.0008502672416766983,2535.6018,6.210728744586248,0.0,-3.413555984580163e-05,1.052017468093706e-06,81.44157654411501,23,3.540938110613696,0,3,True
t_detection_ns,EJ-230,-650,10000,4.099492520400314,0.0008504963999268656,2249.6033,5.491302365839848,0.0,-2.9330909837484953e-05,4.794032965567395e-07,144.51286517346537,33,4.379177732529254,0,3,True
t_detection_ns,EJ-230,-500,10000,4.105572584088892,0.000792263702537696,1237.9344,3.066032322902762,0.0,-6.854872141472934e-05,8.160177201660014e-07,110.68535067402053,27,4.099457432371131,0,3,True
t_detection_ns,EJ-230,-200,10000,4.100646665281805,0.0006921585969451587,684.2922,1.680995489732096,0.0,-9.655935708622088e-05,2.189686385143006e-06,330.8920582522287,32,10.340376820382147,0,3,False
t_detection_ns,EJ-230,0,10000,4.0998209443477664,0.0006777496828465211,608.5049,1.5318625388339477,0.0,-9.665958395675005e-05,2.407814820532679e-06,528.4193678669137,28,18.872120280961205,0,3,False
t_detection_ns,EJ-230,200,10000,4.102352726761383,0.0007010853557837843,684.2388,1.6822116100675635,0.0,-9.826686581622599e-05,2.3325177169936107e-06,307.76718336159337,27,11.398784568947903,0,3,False
t_detection_ns,EJ-230,500,10000,4.107847017914295,0.0008051659253810006,1240.6965,3.065891173483456,0.0,-2.1135278150001113e-05,3.869468551037159e-07,775.5874270436506,34,22.811394913048545,0,3,False
t_detection_ns,EJ-230,650,10000,4.100537129589662,0.0008550034799310938,2252.0272,5.540369373543205,0.0,-2.2037038173469227e-05,6.994156339891425e-07,312.0302502434923,34,9.177360301279185,0,3,False
