clock,material,x_mm,observed_T0_ns,observed_T0_sem_ns,even_mean_Npe_END,even_slope_ns_pe,observed_even_shift_ps,predicted_even_shift_ps
time_ns,EJ-200,-650,4.095500196364004,0.0008081554112360507,2595.7776000000003,-3.286083941769534e-05,-31.92247547081717,-82.78441260544331
time_ns,EJ-200,-500,4.121528349772483,0.0008137965953251978,1656.8944999999999,-4.923335084836761e-05,-6.263928183968481,-44.245988680947775
time_ns,EJ-200,-200,4.12656252105568,0.0007732644430818922,1139.24385,-9.47485060090899e-05,-1.3535402132731633,-6.979837785712875
time_ns,EJ-200,0,4.127569435902669,0.0007691593033674502,1056.8094,-7.45942332391947e-05,0.0,0.0
time_ns,EJ-200,200,4.125869270323111,0.0007883834294856338,1139.24385,-9.47485060090899e-05,-1.3535402132731633,-6.979837785712875
time_ns,EJ-200,500,4.121082665664919,0.0008186188583980388,1656.8944999999999,-4.923335084836761e-05,-6.263928183968481,-44.245988680947775
time_ns,EJ-200,650,4.095793724499699,0.0008142238043876004,2595.7776000000003,-3.286083941769534e-05,-31.92247547081717,-82.78441260544331
time_ns,EJ-204,-650,4.102696006302241,0.0008478109690818314,2541.0252,-3.4567293639886e-05,-14.307034085579318,-109.64215502902896
time_ns,EJ-204,-500,4.118338209834222,0.0008221220305177549,1473.7092499999999,-5.822849437506998e-05,1.9361523214653786,-60.12094270843827
time_ns,EJ-204,-200,4.117653428748923,0.0007447605937798665,882.4072,-0.0001110935541791244,0.30616650946058144,-10.060705498290947
time_ns,EJ-204,0,4.116489049360844,0.0007244280300217338,796.2842,-0.0001225421876852081,0.0,0.0
time_ns,EJ-204,200,4.115937002991685,0.0007403712476730314,882.4072,-0.0001110935541791244,0.30616650946058144,-10.060705498290947
time_ns,EJ-204,500,4.118512193530397,0.0008212553417038321,1473.7092499999999,-5.822849437506998e-05,1.9361523214653786,-60.12094270843827
time_ns,EJ-204,650,4.101668024248289,0.0008502672416766983,2541.0252,-3.4567293639886e-05,-14.307034085579318,-109.64215502902896
time_ns,EJ-230,-650,4.099492520400314,0.0008504963999268656,2250.81525,-2.568397400547709e-05,0.1938806472212562,-82.49938230319046
time_ns,EJ-230,-500,4.105572584088892,0.000792263702537696,1239.31545,-4.484199978236523e-05,6.8888566538278795,-46.830878112586575
time_ns,EJ-230,-200,4.100646665281805,0.0006921585969451587,684.2655,-9.741311145122344e-05,1.6787516738281383,-7.3515319238626535
time_ns,EJ-230,0,4.0998209443477664,0.0006777496828465211,608.5049,-9.665958395675005e-05,0.0,0.0
time_ns,EJ-230,200,4.102352726761383,0.0007010853557837843,684.2655,-9.741311145122344e-05,1.6787516738281383,-7.3515319238626535
time_ns,EJ-230,500,4.107847017914295,0.0008051659253810006,1239.31545,-4.484199978236523e-05,6.8888566538278795,-46.830878112586575
time_ns,EJ-230,650,4.100537129589662,0.0008550034799310938,2250.81525,-2.568397400547709e-05,0.1938806472212562,-82.49938230319046
t_detection_ns,EJ-200,-650,4.095500196364004,0.0008081554112360507,2595.7776000000003,-3.286083941769534e-05,-31.92247547081717,-82.78441260544331
t_detection_ns,EJ-200,-500,4.121528349772483,0.0008137965953251978,1656.8944999999999,-4.923335084836761e-05,-6.263928183968481,-44.245988680947775
