sample,material,material_code,source_type,source,nominal_d_mm,mean_d_direct_mm,mean_tprop_ns,se_tprop_ns,mirror_low_ns,mirror_high_ns,mirror_delta_ns,mirror_pull,n_total,var_tprop_ns2
all_photons,EJ-200,0,1,scintillation,50,52.3181663502,0.665779194545,0.000202980296857,0.665636580701,0.66592180839,-0.000285227688735,-0.702599447215,45548257,1.80085999016
all_photons,EJ-200,0,1,scintillation,200,197.831520044,1.81427566357,0.000351286974266,1.81424666074,1.8143046664,5.80056601001e-05,0.0825616438258,26688847,3.21538347189
all_photons,EJ-200,0,1,scintillation,500,492.224200389,3.8163667877,0.000612733777663,3.81613509716,3.81659847825,0.000463381093143,0.378125957827,14388145,5.38208378274
all_photons,EJ-200,0,1,scintillation,700,688.481925819,5.10702872743,0.000823875318098,5.10670245928,5.10735499559,0.000652536308438,0.396016420266,10247023,6.71183597081
all_photons,EJ-200,0,1,scintillation,900,884.692628123,6.36490780176,0.000982388685179,6.36349018689,6.36632541663,-0.0028352297422,-1.44302850031,7692886,7.45993316048
all_photons,EJ-200,0,1,scintillation,1200,1178.59071428,8.21905075476,0.00126257645176,8.21786571106,8.22023579846,-0.00237008740595,-0.938591640391,5382568,8.36054308116
all_photons,EJ-200,0,1,scintillation,1350,1325.25906046,9.04127993444,0.00137769624294,9.04043284161,9.04212702728,0.00169418567224,0.614861832178,4726731,8.88278098673
all_photons,EJ-200,0,2,Cherenkov,50,52.5716727435,0.872833237965,0.00166124116332,0.871407008297,0.874259467633,-0.00285245933547,-0.858532583483,1480841,3.86481363375
all_photons,EJ-200,0,2,Cherenkov,200,200.310173934,2.41091016707,0.00300307448473,2.40690433531,2.41491599883,0.00801166352381,1.33391022509,897368,7.61452202141
all_photons,EJ-200,0,2,Cherenkov,500,499.821029704,4.87401044461,0.00534452155883,4.87380987375,4.87421101547,0.000401141719805,0.0375283096334,462853,12.1372418138
all_photons,EJ-200,0,2,Cherenkov,700,699.722525067,6.53970803811,0.00710093661402,6.53645100349,6.54296507272,-0.00651406923621,-0.458676762679,321071,15.0515867132
all_photons,EJ-200,0,2,Cherenkov,900,899.673109062,8.00683174356,0.0081391946418,8.00626940725,8.00739407986,0.00112467260787,0.0690899196647,240993,14.5285197305
all_photons,EJ-200,0,2,Cherenkov,1200,1199.63033379,10.1739281882,0.00957393044674,10.1718280292,10.1760283472,-0.00420031798856,-0.219362257326,169107,14.3800767764
all_photons,EJ-200,0,2,Cherenkov,1350,1349.62929663,10.8199114856,0.00972990775404,10.8178810531,10.8219419181,0.00406086504808,0.208679524551,159723,14.3107880918
all_photons,EJ-204,1,1,scintillation,50,52.242820107,0.594978140649,0.000117775042447,0.594923080533,0.595033200764,0.000110120231309,0.467502405523,46603465,0.592142100841
all_photons,EJ-204,1,1,scintillation,200,197.428249269,1.67732211489,0.000237777906444,1.67731440545,1.67732982433,1.54188819916e-05,0.032422865148,25315364,1.28335017215
all_photons,EJ-204,1,1,scintillation,500,490.88358287,3.57846513424,0.000452334339904,3.57839422506,3.57853604343,-0.000141818367768,-0.156762769546,11840535,2.4161263665
all_photons,EJ-204,1,1,scintillation,700,686.321690167,4.80562190564,0.000651463842408,4.80501903804,4.80622477323,-0.00120573518141,-0.925404529706,7751699,3.25368838254
all_photons,EJ-204,1,1,scintillation,900,881.630318528,6.02282744295,0.000863967325492,6.02245318578,6.02320170012,-0.000748514347969,-0.433184407491,5327524,4.10033301323
all_photons,EJ-204,1,1,scintillation,1200,1174.22245137,7.84125378365,0.00122905612887,7.8406266454,7.8418809219,-0.00125427649658,-0.510260055305,3301912,5.01886329701
all_photons,EJ-204,1,1,scintillation,1350,1319.95868875,8.66450363363,0.00135886548209,8.66450211066,8.6645051566,3.04593994116e-06,0.00112076580842,2732831,5.08284014648
