material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-200,2,200,39.2652479139,45,0,Cherenkov,305936,2.01265321679,10.9328271269
EJ-200,2,200,45,60,0,Cherenkov,273684,1.88586574661,3.61300077551
EJ-200,2,200,60,90,0,Cherenkov,205069,3.65568435554,5.96169146198
EJ-200,2,200,90,120,0,Cherenkov,39197,3.67287864868,5.58157884249
EJ-200,2,200,120,180.0000001,0,Cherenkov,59700,2.02466121449,8.61572666634
EJ-200,2,500,0,15,0,Cherenkov,1813,2.74980776016,0.850963847416
EJ-200,2,500,15,30,0,Cherenkov,4256,2.91928832033,0.556480243534
EJ-200,2,500,30,39.2652479139,0,Cherenkov,3917,3.37088597486,1.83448318861
EJ-200,2,500,39.2652479139,45,0,Cherenkov,209846,4.24494462119,10.8163089777
EJ-200,2,500,45,60,0,Cherenkov,141178,4.52573637781,5.01015707716
EJ-200,2,500,60,90,0,Cherenkov,57710,7.92872229516,21.95254366
EJ-200,2,500,90,120,0,Cherenkov,10742,8.06108318162,21.2956681815
EJ-200,2,500,120,180.0000001,0,Cherenkov,33391,4.53592022536,10.4533097855
EJ-200,2,700,0,15,0,Cherenkov,1560,3.79465514651,0.42710163571
EJ-200,2,700,15,30,0,Cherenkov,3304,4.07191284145,0.48464327011
EJ-200,2,700,30,39.2652479139,0,Cherenkov,2876,4.71264271259,2.4835689131
EJ-200,2,700,39.2652479139,45,0,Cherenkov,162663,5.84572624225,11.5788004081
EJ-200,2,700,45,60,0,Cherenkov,88288,6.29079422256,6.05015762073
EJ-200,2,700,60,90,0,Cherenkov,31659,10.7627236082,34.6253442725
EJ-200,2,700,90,120,0,Cherenkov,6110,10.8245566729,33.256004183
EJ-200,2,700,120,180.0000001,0,Cherenkov,24611,6.24206925774,12.2699344219
EJ-200,2,900,0,15,0,Cherenkov,1386,4.86155851364,0.266225559913
EJ-200,2,900,15,30,0,Cherenkov,3043,5.22351747346,0.380932671129
EJ-200,2,900,30,39.2652479139,0,Cherenkov,2328,5.98169954938,1.66961150875
EJ-200,2,900,39.2652479139,45,0,Cherenkov,137306,7.29641076538,9.7745404861
EJ-200,2,900,45,60,0,Cherenkov,57776,8.09801861676,6.29413329128
EJ-200,2,900,60,90,0,Cherenkov,17924,13.3362488375,39.294438939
EJ-200,2,900,90,120,0,Cherenkov,3397,13.3782381711,39.7990519302
EJ-200,2,900,120,180.0000001,0,Cherenkov,17833,7.78528159598,12.6734995803
EJ-200,2,1200,0,15,0,Cherenkov,969,6.45993778992,0.118658793583
EJ-200,2,1200,15,30,0,Cherenkov,1890,6.93413208277,0.174474235402
EJ-200,2,1200,30,39.2652479139,0,Cherenkov,1404,8.00942030223,1.96522616514
EJ-200,2,1200,39.2652479139,45,0,Cherenkov,101349,9.2766153375,7.68200930298
EJ-200,2,1200,45,60,0,Cherenkov,37231,10.6445135125,5.58052442084
EJ-200,2,1200,60,90,0,Cherenkov,11277,16.9237992911,41.4844148545
