cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315
EJ200_xp0,EJ-200,0,right,1,scintillation,700.0,5122329,688.5299226162463,90.47410510928357,5.107354995586559,0.0011411695808424436,6.716476417451535,969.0813587959032,1.423405856059102,148.53299261403416
EJ200_xp0,EJ-200,0,left,2,Cherenkov,700.0,160521,699.7120356084267,3.4126356858482723,6.54296507272463,0.009966826645935576,15.091680974682006,1241.4748978487914,1.774200398987415,122.89591540268876
EJ200_xp0,EJ-200,0,right,2,Cherenkov,700.0,160550,699.7330145258278,0.7187973557069679,6.536451003488421,0.010117092951794788,15.011499693948252,1240.2390563673287,1.7723986504478697,122.97237579811157
EJ200_xp200,EJ-200,200,left,1,scintillation,900.0,3843659,884.6346147992092,115.92034575644344,6.363490186891124,0.0013895509570994275,7.431390425093966,1207.4283380039587,1.3806840585215006,150.83683446139975
EJ200_xp200,EJ-200,200,right,1,scintillation,500.0,7187762,492.2271920094007,65.74982270668016,3.8165984782513713,0.0008706996732931361,5.3879439021141575,724.1631084499863,1.4871826210478778,144.8666165922068
EJ200_xp200,EJ-200,200,left,2,Cherenkov,900.0,120589,899.6737921318718,0.7635056325849612,8.007394079862628,0.011691829347234093,14.763837435707174,1519.338989437768,1.6887313635815566,124.70809637020542
EJ200_xp200,EJ-200,200,right,2,Cherenkov,500.0,231395,499.82276344061376,0.6538787458997193,4.8742110154730325,0.007567819298142532,12.06149418561942,924.8416658544053,1.8502520745955224,121.26618277553557
EJ200_xp500,EJ-200,500,left,1,scintillation,1200.0,2691350,1178.530180869747,154.65191602706852,8.217865711057263,0.0017841166101428118,8.380053635220236,1559.2862398882341,1.3433703090607771,152.5497428141089
EJ200_xp500,EJ-200,500,right,1,scintillation,200.0,13338149,197.82834129450336,31.426059572245684,1.8143046663995657,0.0004972768658718427,3.212024900374567,344.23128182539574,1.7537123752213606,133.3468168573703
EJ200_xp500,EJ-200,500,left,2,Cherenkov,1200.0,84615,1199.6348114592388,0.43890888050444715,10.171828029216647,0.013636313485282617,14.390034003852875,1930.0233344414785,1.6088311567025333,125.89182140141257
EJ200_xp500,EJ-200,500,right,2,Cherenkov,200.0,448235,200.3064455724185,0.9503017875713851,2.41491599883106,0.004312778605339057,7.764381124915223,458.20946637688854,2.287284421389756,111.8790514934017
EJ200_xp650,EJ-200,650,left,1,scintillation,1350.0,2369762,1325.3379493073917,174.16102395932546,9.042127027280232,0.0019709459199381235,8.863921905537268,1715.6841902446033,1.314544636195185,154.28020793095436
EJ200_xp650,EJ-200,650,right,1,scintillation,50.0,22834156,52.31087882036101,18.793604370238352,0.6656365807009449,0.0002860888097990507,1.8006599644345456,126.28888311262024,2.4248447579361665,120.73966196667917
EJ200_xp650,EJ-200,650,left,2,Cherenkov,1350.0,79783,1349.6300294970692,0.4428791268323574,10.821941918143294,0.013804453930047754,14.243770763891519,2053.377311592191,1.5214240912288197,131.33420369517802
EJ200_xp650,EJ-200,650,right,2,Cherenkov,50.0,741707,52.57067659189805,2.621681500714946,0.871407008297065,0.0023446468998317986,3.8222627129909146,165.34125718565065,3.146009405966207,102.99989777106892
