cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,angle_low_deg,angle_high_deg,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,0.0,15.0,972239,0.3173875024517565,0.0008606952714800413,0.7110659770792974
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,15.0,30.0,2890621,0.3128224794939307,0.0003758593797914939,0.399984593209586
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,30.0,39.2652479139,2519034,0.37069391962277815,0.0006032738165921269,0.9137440455520971
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,39.2652479139,45.0,1980849,0.60464088424382,0.0015980544819181649,5.088741505098244
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,45.0,60.0,5520635,0.5520570428194004,0.0007248244124485843,2.8305567491464583
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,60.0,90.0,6671691,1.0454839183522895,0.00035264075091465753,0.7994204865668693
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,90.0,120.0,1272606,0.9844564707393022,0.0006127438132825902,0.4736832048726515
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,120.0,180.0000001,886426,0.5706266587771952,0.0020115164608362,3.657360567525733
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,0.0,15.0,360988,7.203839489673855,0.0008181457903854387,0.2432613421435974
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,15.0,30.0,670154,7.6953785755993955,0.000834067596096645,0.4776191353143986
