sample,material,material_code,source_type,source,model,n_points,b1_ns_per_mm,b1_error,b2_ns_per_mm2,b2_error,b3_ns_per_mm3,b3_error,v_linear_mm_per_ns,v_linear_error,chi2,ndf,chi2_ndf,p_value,delta_chi2_from_linear,quadratic_significance
first_by_source,EJ-204,1,1,scintillation,linear_origin,7,0.00537461999738,2.86273450718e-07,,,,,186.059665704,0.00991027134317,7826.3723199,6,1304.39538665,,0,
first_by_source,EJ-204,1,1,scintillation,quadratic_origin,7,0.00542983671649,8.18734961661e-07,-5.96776380718e-08,8.29025578909e-10,,,184.167600651,0.0277696110087,2644.49184454,5,528.898368909,,5181.88047536,71.9852795741
first_by_source,EJ-204,1,1,scintillation,cubic_origin,7,0.00549635516146,1.61933682463e-06,-2.48920269789e-07,4.06027342035e-09,1.11324827265e-10,2.33819907597e-12,181.93875225,0.0536028172656,377.650678945,4,94.4126697363,,7448.72164096,61.3062826119
first_by_source,EJ-204,1,2,Cherenkov,linear_origin,7,0.00675414568193,1.17813611057e-06,,,,,148.057215093,0.025825849744,4879.92467919,6,813.320779866,,0,
first_by_source,EJ-204,1,2,Cherenkov,quadratic_origin,7,0.00663818816443,2.12392261829e-06,2.00421545573e-07,3.05446006564e-09,,,150.643515253,0.0481991714335,574.461188598,5,114.89223772,,4305.46349059,65.616030744
first_by_source,EJ-204,1,2,Cherenkov,cubic_origin,7,0.00667536450603,2.90633735798e-06,2.15400783854e-08,1.00225776919e-08,1.37160167519e-10,7.3193932977e-12,149.804553609,0.06522229163,223.300537411,4,55.8251343527,,4656.62414178,2.14915554137
first_by_source,EJ-230,2,1,scintillation,linear_origin,7,0.00537185726708,2.93367071577e-07,,,,,186.15535564,0.0101662886461,5571.43042823,6,928.571738039,,0,
first_by_source,EJ-230,2,1,scintillation,quadratic_origin,7,0.00541452772321,7.82747294464e-07,-4.70282677095e-08,7.9980500623e-10,,,184.688314682,0.0266993329846,2114.02963623,5,422.805927246,,3457.400792,58.7996665977
first_by_source,EJ-230,2,1,scintillation,cubic_origin,7,0.0054704601867,1.48743013391e-06,-2.12406589436e-07,3.8243092811e-09,9.82681974137e-11,2.2221623766e-12,182.799977675,0.0497037152255,158.454987193,4,39.6137467982,,5412.97544104,55.5411641223
first_by_source,EJ-230,2,2,Cherenkov,linear_origin,7,0.00676302873704,1.26231216096e-06,,,,,147.86274595,0.0275984251469,6938.2619877,6,1156.37699795,,0,
first_by_source,EJ-230,2,2,Cherenkov,quadratic_origin,7,0.00662502929659,2.18970542302e-06,2.69517653002e-07,3.49444619875e-09,,,150.942728739,0.0498896075607,989.621599053,5,197.924319811,,5948.64038864,77.1274295477
first_by_source,EJ-230,2,2,Cherenkov,cubic_origin,7,0.00667618643495,2.95962677168e-06,8.98984843914e-09,1.07254271518e-08,2.09442426497e-10,8.15186640995e-12,149.78611064,0.0664018279592,329.513268538,4,82.3783171344,,6608.74871916,0.838180923881
first_overall,EJ-200,0,0,first overall,linear_origin,7,0.00537646360687,2.90207599845e-07,,,,,185.995865149,0.0100395757421,48058.7238305,6,8009.78730508,,0,
first_overall,EJ-200,0,0,first overall,quadratic_origin,7,0.00547120979603,8.99695989018e-07,-9.63328349368e-08,8.65867015176e-10,,,182.774932288,0.0300558522891,35680.8431791,5,7136.16863583,,12377.8806514,111.255924118
first_overall,EJ-200,0,0,first overall,cubic_origin,7,0.00564713122167,1.97585112472e-06,-5.6423145953e-07,4.75820509563e-09,2.63295183122e-10,2.63282421216e-12,177.081063065,0.0619581525359,25679.8737096,4,6419.96842739,,22378.8501209,118.580735422
first_overall,EJ-204,1,0,first overall,linear_origin,7,0.00537655512914,2.89512000538e-07,,,,,185.992699039,0.0100151708838,31988.570163,6,5331.4283605,,0,
first_overall,EJ-204,1,0,first overall,quadratic_origin,7,0.00544552822184,8.48387960321e-07,-7.39033018064e-08,8.54464251453e-10,,,183.636914412,0.02860977685,24507.9106405,5,4901.5821281,,7480.65952253,86.490806
first_overall,EJ-204,1,0,first overall,cubic_origin,7,0.00557033933639,1.78918770499e-06,-4.18126409293e-07,4.42771013561e-09,1.99272377233e-10,2.51504001655e-12,179.522276761,0.057662384813,18230.1550332,4,4557.5387583,,13758.4151298,94.434006854
first_overall,EJ-230,2,0,first overall,linear_origin,7,0.00537307882358,2.88253791423e-07,,,,,186.113033669,0.00998455249769,21371.4714218,6,3561.91190364,,0,
first_overall,EJ-230,2,0,first overall,quadratic_origin,7,0.00542403461265,7.9534263115e-07,-5.60694327246e-08,8.1565863565e-10,,,184.364605209,0.027033940723,16646.1054748,5,3329.22109495,,4725.36594708,68.7412972461
first_overall,EJ-230,2,0,first overall,cubic_origin,7,0.00552133703662,1.63749412439e-06,-3.30574614568e-07,4.11966707171e-09,1.60040464204e-10,2.35427796989e-12,181.115551064,0.0537144624094,12025.0186623,4,3006.25466557,,9346.45275955,80.2430412006
