cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,boundary_category,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,0,1254261,0.20380744545404714,0.00010745744854597593,0.014362465253780994
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,1-2,4902913,0.31564757941628274,4.0422360538489777e-05,0.004187875396766086
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,3-5,6088383,0.3783325071930625,4.448767971183085e-05,0.007994601583281552
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,6-10,4788336,0.5168109220760754,7.03661045445961e-05,0.020291289882682417
EJ200_xm650,EJ-200,-650,left,1,scintillation,50.0,22714101,52.32545387994909,18.771682029394682,0.6659218083896796,0.0002880229097776632,1.8010610731232897,126.34294974845163,2.425054762383635,120.74129342405706,>10,5680208,1.5042578219799134,0.001051510407575958,6.206391336981229
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,0,35632,0.2198638252277169,0.006420704408714537,1.462228866520445
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,1-2,9948,6.506753536652516,0.01940334390293474,3.7391442858555095
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,3-5,29135,6.942558480061908,0.006472956125952356,1.239635142175409
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,6-10,74652,7.136098503036747,0.0028020188621621783,0.5735635118445828
EJ200_xm650,EJ-200,-650,right,1,scintillation,1350.0,2356969,1325.1801716151956,174.67278405321625,9.040432841607997,0.0019255025141247657,8.901742429984637,1715.3625919752778,1.3098722867099115,154.291886430045,>10,2207602,9.286303018154324,0.001881495380282892,7.901956554866032
