material_code,material,source_type,source,face_type,face,d_low_mm,d_high_mm,d_center_mm,n_photons,mean_tprop_ns,var_tprop_ns2,iid_se_tprop_ns
0,EJ-200,1,scintillation,0,left,540,550,545,3526,4.13191482331,5.22656688473,0.0385005649446
0,EJ-200,1,scintillation,0,left,550,560,555,1629,4.23835091346,5.33432562014,0.0572241326967
0,EJ-200,1,scintillation,0,left,560,570,565,2683,4.17902050586,4.07531108377,0.0389735571918
0,EJ-200,1,scintillation,0,left,570,580,575,1394,4.33947192597,4.74321522647,0.0583317530962
0,EJ-200,1,scintillation,0,left,580,590,585,2591,4.26312338153,3.67237217099,0.0376478030038
0,EJ-200,1,scintillation,0,left,590,600,595,1339,4.4732840319,4.71126958591,0.0593169332527
0,EJ-200,1,scintillation,0,left,600,610,605,2642,4.41320942492,4.17898347505,0.039771220632
0,EJ-200,1,scintillation,0,left,610,620,615,1345,4.65313657449,5.0892123373,0.0615126084171
0,EJ-200,1,scintillation,0,left,620,630,625,2453,4.6084481044,4.68529851424,0.043703866314
0,EJ-200,1,scintillation,0,left,630,640,635,1354,4.66063509865,4.60877457252,0.0583422804932
0,EJ-200,1,scintillation,0,left,640,650,645,2477,4.76985720983,5.5865958124,0.0474909243286
0,EJ-200,1,scintillation,0,left,650,660,655,1254,4.78431483892,3.65263066442,0.0539702105234
0,EJ-200,1,scintillation,0,left,660,670,665,2702,4.81824317182,4.7881863727,0.0420961958046
0,EJ-200,1,scintillation,0,left,670,680,675,1288,5.05508894958,6.18338932373,0.0692875754265
0,EJ-200,1,scintillation,0,left,680,690,685,4106,4.95585698265,4.34853390907,0.0325433275917
0,EJ-200,1,scintillation,0,left,690,700,695,4140469,5.13388710585,5.9001458729,0.00119373136735
0,EJ-200,1,scintillation,0,left,700,710,705,862431,5.46465681983,8.5843335043,0.00315494005197
0,EJ-200,1,scintillation,0,left,710,720,715,3658,5.23797631468,5.15606694982,0.0375437304699
0,EJ-200,1,scintillation,0,left,720,730,725,1437,5.23277555747,4.69484284442,0.0571586740433
0,EJ-200,1,scintillation,0,left,730,740,735,2659,5.33053495346,5.4399457609,0.0452312006494
0,EJ-200,1,scintillation,0,left,740,750,745,1597,5.40886969913,4.67122473341,0.0540832675887
0,EJ-200,1,scintillation,0,left,750,760,755,2339,5.40196064569,4.61140940588,0.0444019179159
0,EJ-200,1,scintillation,0,left,760,770,765,1146,5.44292293962,4.07576575795,0.0596365208827
0,EJ-200,1,scintillation,0,left,770,780,775,1993,5.64056419395,7.2867926518,0.06046646179
0,EJ-200,1,scintillation,0,left,780,790,785,1037,5.68247835774,5.62782848894,0.0736683679525
0,EJ-200,1,scintillation,0,left,790,800,795,1979,5.61714557937,4.56111844983,0.0480079076453
0,EJ-200,1,scintillation,0,left,800,810,805,1009,5.82970564582,5.3018124139,0.0724880798369
0,EJ-200,1,scintillation,0,left,810,820,815,1804,5.84036985414,5.86678856062,0.0570271872797
0,EJ-200,1,scintillation,0,left,820,830,825,1078,5.87747643476,5.43670192052,0.0710163554845
0,EJ-200,1,scintillation,0,left,830,840,835,1826,5.96563753248,5.58867372236,0.0553227794369
0,EJ-200,1,scintillation,0,left,840,850,845,1003,5.87212158306,3.3020896093,0.0573778090414
0,EJ-200,1,scintillation,0,left,850,860,855,1799,6.01857786221,4.92937323896,0.0523456105658
0,EJ-200,1,scintillation,0,left,860,870,865,1026,6.17156053921,4.51366400963,0.0663270884364
0,EJ-200,1,scintillation,0,left,870,880,875,2003,6.15871461166,5.4915265931,0.0523607755894
0,EJ-200,1,scintillation,0,left,880,890,885,1595,6.22568345182,4.53567081789,0.0533261733445
0,EJ-200,1,scintillation,0,left,890,900,895,3499915,6.41622205924,6.48189938042,0.00136088802959
0,EJ-200,1,scintillation,0,left,900,910,905,250139,7.24681394907,11.6375341402,0.00682087011072
0,EJ-200,1,scintillation,0,left,910,920,915,2960,6.36950250634,4.54851909325,0.0392002787723
0,EJ-200,1,scintillation,0,left,920,930,925,1138,6.63540407307,7.08309859988,0.0788933708988
0,EJ-200,1,scintillation,0,left,930,940,935,1965,6.61405814194,6.10624135375,0.0557449725195
0,EJ-200,1,scintillation,0,left,940,950,945,1158,6.54334646685,6.24095184453,0.0734126897007
0,EJ-200,1,scintillation,0,left,950,960,955,1445,6.68611151033,5.29038770281,0.0605075859742
0,EJ-200,1,scintillation,0,left,960,970,965,865,6.706578056,5.05690236247,0.0764599888753
0,EJ-200,1,scintillation,0,left,970,980,975,1261,6.7942281338,5.77896047799,0.0676966719692
0,EJ-200,1,scintillation,0,left,980,990,985,802,6.88032941123,7.57588272865,0.0971917579647
0,EJ-200,1,scintillation,0,left,990,1000,995,1303,6.92946642555,4.59946909844,0.0594130222504
0,EJ-200,1,scintillation,0,left,1000,1010,1005,829,6.95023661342,5.25565940578,0.0796225974751
0,EJ-200,1,scintillation,0,left,1010,1020,1015,1221,7.02145956667,4.38805475607,0.0599484815407
0,EJ-200,1,scintillation,0,left,1020,1030,1025,768,7.10011892663,4.39810320241,0.0756749422077
0,EJ-200,1,scintillation,0,left,1030,1040,1035,1162,7.15320173123,4.82486525138,0.0644376257894
0,EJ-200,1,scintillation,0,left,1040,1050,1045,713,7.20102943575,6.57988253585,0.0960648049722
0,EJ-200,1,scintillation,0,left,1050,1060,1055,1084,7.32876091188,7.95066389552,0.0856420503562
0,EJ-200,1,scintillation,0,left,1060,1070,1065,676,7.28325194126,5.88932792964,0.0933382213488
0,EJ-200,1,scintillation,0,left,1070,1080,1075,933,7.47037976137,6.42677952116,0.0829957547512
0,EJ-200,1,scintillation,0,left,1080,1090,1085,730,7.60255180492,7.96053564316,0.104426257937
0,EJ-200,1,scintillation,0,left,1090,1100,1095,1104,7.63890913393,6.88900745562,0.0789939427118
0,EJ-200,1,scintillation,0,left,1100,1110,1105,660,7.43139237975,3.6842472457,0.0747140736175
0,EJ-200,1,scintillation,0,left,1110,1120,1115,1077,7.70087756421,5.28774752985,0.0700692556319
0,EJ-200,1,scintillation,0,left,1120,1130,1125,880,7.73877575266,4.58383214513,0.0721727106663
0,EJ-200,1,scintillation,0,left,1130,1140,1135,1122,7.7309783535,4.43193001343,0.0628492382606
0,EJ-200,1,scintillation,0,left,1140,1150,1145,674,7.95410757592,6.33702799477,0.0969645228246
0,EJ-200,1,scintillation,0,left,1150,1160,1155,1087,7.91805985056,4.58306903276,0.0649326948458
0,EJ-200,1,scintillation,0,left,1160,1170,1165,701,7.97401909163,4.99940525661,0.0844500988531
0,EJ-200,1,scintillation,0,left,1170,1180,1175,1260,7.94562542822,4.2253359405,0.0579089045193
0,EJ-200,1,scintillation,0,left,1180,1190,1185,925,8.12586070798,5.97606601454,0.0803779317202
0,EJ-200,1,scintillation,0,left,1190,1200,1195,2488210,8.3345258989,7.17919047228,0.00169861213478
0,EJ-200,1,scintillation,0,left,1200,1210,1205,134405,8.9224020611,10.5741089963,0.0088698071784
