material_code,material,selection,n,minimum_deg,q001_deg,q01_deg,median_deg,fraction_below_critical,fraction_below_critical_minus_half_bin,modal_bin_low_deg,modal_bin_high_deg
0,EJ-200,all_source_type_2,20000,0.554532307585,1.52042064297,4.21800811091,39.6397077813,0.1166,0.1166,39.5,39.52
0,EJ-200,primary_like_proxy,11116,3.77689907093,39.4115267023,39.4571735175,39.694254905,0.000269881252249,0.000269881252249,39.5,39.52
1,EJ-204,all_source_type_2,20000,0.287988432004,1.50369587841,4.37298383635,39.6422523093,0.11785,0.11785,39.5,39.52
1,EJ-204,primary_like_proxy,11059,39.2731182735,39.4254057145,39.4610490949,39.6971678913,0,0,39.5,39.52
2,EJ-230,all_source_type_2,20000,0.520084258659,1.64970346677,4.59998063094,39.6438638467,0.1154,0.1154,39.5,39.52
2,EJ-230,primary_like_proxy,11025,29.1330335169,39.425123501,39.4600255785,39.6996350811,0.000181405895692,0.000181405895692,39.5,39.52
