face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,82320121.0,0.4478365809289725,6.797494554833204e-05,18643623.0,0.22647710879822444,5.4766358033164934e-05,0.39486634147920124
-Z,82620177.0,0.44946894069101934,6.797824395780752e-05,18637824.0,0.22558441142046937,5.445515999387476e-05,0.3947435203990798
-Y,9391825.0,0.0510932533333284,2.3416582300162645e-05,5437323.0,0.5789421118898617,0.00016008834371261332,0.11516086977572519
-X_SENSOR,13444.0,7.313782974163882e-05,6.591326410845469e-07,0.0,0.0,0.0,0.0
+X_SENSOR,3373.0,1.8349739639880078e-05,3.213702734112265e-07,0.0,0.0,0.0,0.0
+Y_SENSOR,1858532.0,0.010110755503227275,7.807241164172521e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,7609850.0,0.04139898197407098,1.9223059946792314e-05,4496252.0,0.5908463373128249,0.00020102119565852734,0.09522926834599378
