event_id,track_id,global_id,time_alive_ns,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary
0,1582,12,5.78061286702,53,0,53,1,0
0,1573,13,4.11203953986,37,0,37,1,0
0,1559,5,4.99642065171,17,0,17,1,0
0,1555,4,5.76963370573,10,0,10,1,0
0,3069,4,6.0508515893,0,0,0,0,0
0,1547,10,4.78383066282,29,0,29,1,0
0,1540,6,5.46641059894,56,0,56,1,0
0,1528,1,8.16060196291,26,0,26,1,0
0,1526,8,4.43486905432,61,0,61,1,0
0,1506,9,8.97277525483,154,0,154,1,0
0,1501,6,6.76157411064,21,22,21,1,1
0,1465,7,7.08572129858,36,0,36,1,0
0,1451,14,4.06225549281,9,0,9,1,0
0,1447,4,3.64729789825,25,0,25,1,0
0,1411,3,6.40744049203,24,0,24,1,0
0,1408,8,3.66487802713,10,0,10,1,0
0,1378,1,4.16755028672,5,0,5,1,0
0,1359,13,6.14946220641,12,0,12,1,0
0,1357,6,12.1591497703,65,0,65,1,0
0,1352,12,8.27744803072,41,0,41,1,0
0,1347,10,6.23746203688,11,0,11,1,0
0,1316,11,6.07026636358,72,0,72,1,0
0,1300,5,4.11030586221,8,0,8,1,0
0,1286,0,3.68950398007,15,0,15,1,0
0,1284,7,6.15520741676,77,0,77,1,0
0,1265,10,8.39545186837,30,0,30,1,0
0,1263,1,7.89873206009,93,0,93,1,0
0,1261,3,7.18692641555,72,0,72,1,0
0,1256,10,3.46606342361,52,0,52,1,0
0,1238,11,6.42830168329,28,0,28,1,0
0,1231,8,6.03439194085,41,0,41,1,0
0,1220,9,8.42250275803,93,0,93,1,0
0,1209,11,5.62516125154,103,0,103,1,0
0,1174,2,8.77756710522,108,0,108,1,0
0,1170,2,6.43930066096,57,0,57,1,0
0,1169,9,4.99186931182,71,0,71,1,0
0,1155,11,4.64329377805,71,0,71,1,0
0,1115,2,5.28131843932,46,0,46,1,0
0,1113,9,4.4619921663,61,0,61,1,0
0,1100,1,4.18192915098,53,0,53,1,0
0,1066,3,3.47475095009,32,0,32,1,0
0,1048,14,3.81983763989,5,0,5,1,0
0,1047,2,5.08883217253,42,0,42,1,0
0,1046,12,4.75485083677,39,0,39,1,0
0,1045,0,4.90295271762,72,0,72,1,0
0,1023,0,6.31101542123,58,0,58,1,0
0,1021,5,3.69247218462,13,0,13,1,0
0,1015,6,13.0202102321,97,28,87,1,1
0,3075,3,9.30150901321,95,0,95,1,0
0,992,6,6.32777922555,87,0,87,1,0
0,989,7,16.4286206658,360,0,360,1,0
0,985,7,3.25232024631,31,0,31,1,0
0,975,3,4.98491519206,56,0,56,1,0
0,974,10,4.86829736136,58,0,58,1,0
0,972,15,4.68730957296,7,0,7,1,0
0,934,8,3.42754406615,13,0,13,1,0
0,921,7,10.8201308133,178,0,178,1,0
0,916,3,4.04841077243,62,0,62,1,0
0,900,3,4.11971330304,39,0,39,1,0
0,899,7,3.11627270608,48,0,48,1,0
0,897,2,7.51924791083,82,0,82,1,0
0,868,13,4.83711917479,2,0,2,1,0
0,865,14,4.11545621449,17,0,17,1,0
0,853,15,4.14185757071,14,0,14,1,0
0,842,15,9.11686161626,174,0,174,1,0
0,841,15,4.08197944881,20,0,20,1,0
0,3077,4,6.43502162676,4,0,4,1,0
0,3078,4,6.90788365039,0,0,0,0,0
0,798,5,5.71519310298,89,0,89,1,0
0,790,3,13.1261062204,104,0,104,1,0
0,770,0,3.86402478037,65,0,65,1,0
0,739,13,6.37466903911,120,0,120,1,0
0,709,9,3.28128668111,26,0,26,1,0
0,705,2,3.82070735322,5,0,5,1,0
0,679,13,6.7925441576,8,0,8,1,0
0,675,8,6.38255215709,96,0,96,1,0
0,673,15,4.88221382838,69,0,69,1,0
0,659,11,5.69328641974,73,0,73,1,0
0,637,5,5.29044465764,42,0,42,1,0
0,3080,14,5.70351616516,8,0,8,1,0
0,611,3,4.41491488183,69,0,69,1,0
0,609,7,5.9339721688,12,11,7,1,1
0,596,4,6.15814661482,12,0,12,1,0
0,581,5,9.28841706388,66,0,66,1,0
0,564,3,4.02516931231,21,0,21,1,0
0,538,5,7.22355123702,66,0,66,1,0
0,513,6,10.4465400732,122,0,122,1,0
0,507,13,3.49119294466,54,0,54,1,0
0,500,14,6.37119296976,86,0,86,1,0
0,498,10,4.48367750972,32,0,32,1,0
0,487,2,3.73400494982,60,0,60,1,0
0,485,1,4.00333595163,57,0,57,1,0
0,477,4,5.89620187262,111,0,111,1,0
0,475,10,4.12051741126,43,0,43,1,0
0,473,2,4.13104831742,24,0,24,1,0
0,441,0,7.15791602771,21,0,21,1,0
0,427,14,8.60601995997,20,0,20,1,0
0,410,1,4.79709754166,17,0,17,1,0
0,388,11,5.55450707614,13,0,13,1,0
0,381,4,4.42669019111,21,0,21,1,0
0,366,7,8.80981766306,53,0,53,1,0
0,364,10,4.20878668376,76,0,76,1,0
0,351,1,5.1307784037,62,0,62,1,0
0,344,11,13.3139299319,24,0,24,1,0
0,342,1,7.8920395831,117,0,117,1,0
0,340,7,2.92449752227,15,0,15,1,0
0,333,14,9.73126894809,96,0,96,1,0
0,330,6,11.7535230583,79,0,79,1,0
0,319,11,6.32050751209,16,19,14,1,1
0,310,14,9.323967272,103,0,103,1,0
0,308,15,8.84806966842,24,0,24,1,0
0,275,4,3.92686438938,18,0,18,1,0
0,271,13,6.48083681549,64,0,64,1,0
0,270,0,3.97444407916,25,0,25,1,0
0,258,13,3.51714561429,11,0,11,1,0
0,241,1,6.73064024256,34,0,34,1,0
0,240,6,3.89288650822,39,0,39,1,0
0,235,12,4.38352878511,20,0,20,1,0
0,225,14,3.11245785229,24,0,24,1,0
0,204,9,5.71101765654,27,0,27,1,0
0,192,5,10.8341316406,118,0,118,1,0
0,180,9,3.86865185822,10,0,10,1,0
0,173,12,3.69167634441,30,0,30,1,0
0,170,2,6.99307469836,21,0,21,1,0
0,163,12,9.82058754443,20,0,20,1,0
0,157,9,5.25605969057,23,0,23,1,0
0,149,11,5.81255156536,46,0,46,1,0
0,144,13,8.07383047811,14,0,14,1,0
0,143,10,6.0391323058,14,0,14,1,0
0,141,3,6.68924985203,7,0,7,1,0
0,76,12,3.4039826419,64,0,64,1,0
0,73,13,4.59191068355,95,0,95,1,0
0,69,12,4.735580885,99,0,99,1,0
0,65,15,12.8688230888,288,0,288,1,0
0,47,13,3.28858463471,60,0,60,1,0
0,14,1,3.53268089295,68,0,68,1,0
0,4710,3,6.0642798966,89,0,89,1,0
0,4696,5,6.91876008258,95,0,95,1,0
0,4691,12,4.9305222224,73,0,73,1,0
0,4682,8,4.27805050062,5,0,5,1,0
0,4677,6,7.12580873123,6,0,6,1,0
0,4668,4,4.06402748114,11,0,11,1,0
0,4657,4,8.2070517883,34,0,34,1,0
0,4715,4,9.70043283765,0,0,0,0,0
0,4640,12,4.47195508047,23,0,23,1,0
0,4639,9,5.04434561384,47,0,47,1,0
0,4631,6,5.06919983848,11,0,11,1,0
0,4622,3,5.86363622918,71,0,71,1,0
0,4610,7,6.0584436229,91,0,91,1,0
0,4600,5,4.06464515145,2,0,2,1,0
0,4593,5,6.58509642303,50,0,50,1,0
0,4577,0,4.84810581421,44,0,44,1,0
0,4568,15,5.77717971739,18,0,18,1,0
0,4555,15,4.53909529664,15,0,15,1,0
0,4549,9,3.91412769076,73,0,73,1,0
0,4548,9,6.86433984926,86,0,86,1,0
0,4540,5,6.59929114118,65,0,65,1,0
0,4717,5,7.1954778044,0,0,0,0,0
0,4530,12,5.27050570412,5,0,5,1,0
0,4522,13,3.84683208163,57,0,57,1,0
0,4513,8,9.70175426038,24,0,24,1,0
0,4496,15,3.97641273609,52,0,52,1,0
0,4490,0,5.66515136379,6,0,6,1,0
0,4478,14,3.72637317761,16,0,16,1,0
0,4474,3,5.9727247381,20,0,20,1,0
0,4465,3,4.32217618319,24,0,24,1,0
0,4459,2,6.7496723401,31,0,31,1,0
0,4456,6,5.8111875201,19,0,19,1,0
0,4445,15,7.36084712074,111,0,111,1,0
0,4440,2,14.6613586151,285,0,285,1,0
0,4436,0,8.46658047564,85,0,85,1,0
0,4426,4,6.53003319248,67,0,67,1,0
0,4423,11,6.26501708548,35,0,35,1,0
0,4417,13,7.51004793264,158,0,158,1,0
0,4409,9,4.57757166682,18,0,18,1,0
0,4387,4,6.75536408195,6,0,6,1,0
0,4374,15,6.02550910572,15,0,15,1,0
0,4718,11,6.25064829852,13,0,13,1,0
0,4367,14,7.66139738536,114,0,114,1,0
0,4325,3,6.87596877326,34,23,34,1,1
0,4323,4,5.56229500092,78,0,78,1,0
