event_id,n_gen_estimated,edep_mev_estimated,n_rows_raw,n_unique_tracks,sum_pde,collection_eff_raw,collection_eff_unique,collection_eff_pde
0,20937.72,2.0132423076923076,3304,3304,2038.6689838464429,0.1578013269830717,0.1578013269830717,0.09736824180696096
1,20937.72,2.0132423076923076,2479,2479,1528.7571513113949,0.11839875592948992,0.11839875592948992,0.07301449973117392
2,20937.72,2.0132423076923076,2007,2007,1232.85263468636,0.09585570921762254,0.09585570921762254,0.05888189519615125
3,20937.72,2.0132423076923076,2856,2856,1761.3768349131362,0.13640453688367213,0.13640453688367213,0.08412457683611856
4,20937.72,2.0132423076923076,1782,1782,1096.8391228492258,0.08510955347573661,0.08510955347573661,0.05238579572413929
5,20937.72,2.0132423076923076,1720,1720,1061.3725791799886,0.08214839056019471,0.08214839056019471,0.05069188904904586
6,20937.72,2.0132423076923076,1669,1669,1027.947348613017,0.07971259525870056,0.07971259525870056,0.04909547690068532
7,20937.72,2.0132423076923076,1632,1632,1004.5174928739983,0.07794544964781265,0.07794544964781265,0.047976450772767916
8,20937.72,2.0132423076923076,1831,1831,1128.7837850851738,0.08744982739285843,0.08744982739285843,0.05391149490418125
9,20937.72,2.0132423076923076,1932,1932,1191.5292157362612,0.09227365730366056,0.09227365730366056,0.05690826010359586
10,20937.72,2.0132423076923076,2398,2398,1478.7204651274633,0.11453013986241099,0.11453013986241099,0.0706247129643277
11,20937.72,2.0132423076923076,1772,1772,1092.4894168200315,0.08463194655387501,0.08463194655387501,0.05217805075337866
12,20937.72,2.0132423076923076,1539,1539,945.1187688833136,0.0735037052744998,0.0735037052744998,0.04513952659999816
13,20937.72,2.0132423076923076,2857,2857,1764.6367984426875,0.1364522975758583,0.1364522975758583,0.08428027495079156
14,20937.72,2.0132423076923076,2110,2110,1300.0366967422426,0.100775060512797,0.100775060512797,0.06209065250381811
15,20937.72,2.0132423076923076,1982,1982,1221.7330300833562,0.09466169191296855,0.09466169191296855,0.05835081518347538
16,20937.72,2.0132423076923076,1851,1851,1139.9598524648168,0.08840504123658163,0.08840504123658163,0.05444527161815215
17,20937.72,2.0132423076923076,1788,1788,1099.1041852527997,0.08539611762885356,0.08539611762885356,0.052493976672378824
18,20937.72,2.0132423076923076,2068,2068,1272.8613210491194,0.09876911144097829,0.09876911144097829,0.06079273775029561
19,20937.72,2.0132423076923076,1844,1844,1137.1104924617698,0.08807071639127852,0.08807071639127852,0.054309184212119076
20,20937.72,2.0132423076923076,2813,2813,1736.1709119546376,0.13435082711966728,0.13435082711966728,0.08292072450842965
21,20937.72,2.0132423076923076,1644,1644,1012.6609857067184,0.07851857795404657,0.07851857795404657,0.04836538962727166
22,20937.72,2.0132423076923076,1954,1954,1204.300958211381,0.09332439253175608,0.09332439253175608,0.05751824736463096
23,20937.72,2.0132423076923076,2262,2262,1392.9272012330898,0.10803468572509327,0.10803468572509327,0.06652716729582255
24,20937.72,2.0132423076923076,1881,1881,1159.4996232369651,0.08983786200216642,0.08983786200216642,0.05537850459538885
25,20937.72,2.0132423076923076,2204,2204,1358.5832344598286,0.10526456557829601,0.10526456557829601,0.06488687567031312
26,20937.72,2.0132423076923076,2086,2086,1284.357170415466,0.09962880390032916,0.09962880390032916,0.06134178747330015
27,20937.72,2.0132423076923076,3789,3789,2338.86930658444,0.18096526269335916,0.18096526269335916,0.11170601701543625
28,20937.72,2.0132423076923076,2100,2100,1294.8798416199356,0.10029745359093539,0.10029745359093539,0.06184435753367298
29,20937.72,2.0132423076923076,1747,1747,1077.3471797175496,0.08343792924922101,0.08343792924922101,0.05145484702811717
30,20937.72,2.0132423076923076,2070,2070,1275.9338031889179,0.0988646328253506,0.0988646328253506,0.060939481624022
31,20937.72,2.0132423076923076,1851,1851,1142.0918263839642,0.08840504123658163,0.08840504123658163,0.05454709616825348
32,20937.72,2.0132423076923076,1961,1961,1209.03234890844,0.09365871737705919,0.09365871737705919,0.05774422185932566
33,20937.72,2.0132423076923076,1817,1817,1120.1187408528817,0.0867811777022522,0.0867811777022522,0.05349764639382328
