x_beam_mm,channel,mean,mean_error,fano,fano_error,fit_regime,poisson_chi2_ndf,mpv,mpv_error,width,width_error,sigma_gauss,sigma_gauss_error,chi2_ndf,fit_status
-690,0,196.461,1.4704512196851904,13.433798458727178,1.1395363232165745,moyal-gauss,20.382278351209784,170.06592372350485,0.6197916481583136,15.810005474313801,0.5202072804437229,3.054807876511169,3.5020371393915157,2.652701367413603,ok
-690,1,247.406,1.9205493183489295,16.06457468290987,1.443099503087597,moyal-gauss,16.308963306457372,214.5053738903577,0.7170293511085146,18.302286125878734,0.6152267197240879,4.624536986346945,3.7343075236515673,1.7697180634981293,ok
-690,2,397.0945,2.9091671330287596,25.5565553533227,2.252782033995694,moyal-gauss,13.163551386548239,344.1663744604413,1.0718941036861838,28.195921916724497,0.9438083960555322,0.10000000486920584,239.36205895907736,1.5693938858318852,ok
-690,3,677.5435,4.870540782413985,42.0901124544033,3.688164041852305,moyal-gauss,11.124519740798831,588.4792562770184,1.7768221756374054,47.083786258914614,1.5911337298541774,0.10000012164706125,692.1401442539567,1.1737905890484663,ok
-690,4,683.9125,5.315409519055215,41.3092666733683,3.5145412839168793,moyal-gauss,11.134549434139716,594.5848297864758,1.7834051223636402,47.10306146128456,1.61135671654764,0.10000000087252424,733.5992607079589,1.0824526876393545,ok
-690,5,407.596,2.9505704533191692,25.093952796396433,2.2023905375580157,moyal-gauss,11.877071896643466,353.6791744965625,1.1541039663263952,30.23751916794598,1.00160189356722,0.10000006716476274,284.26553624549285,1.4078484907817255,ok
-690,6,257.3225,1.973733821306295,16.478650307493517,1.4188870060356293,moyal-gauss,15.272059287523565,222.721180667135,0.7920184506364842,20.142074618238148,0.6939670929284523,5.152930210622886,3.990210478414232,1.4122558677746195,ok
-690,7,206.0,1.648834037800819,13.510888349514563,1.1192875886167335,moyal-gauss,17.09744116364285,178.8449558684489,0.6412513232048378,15.357543538880948,0.5377491465124553,5.923734559756029,1.7735781935268853,3.223745425593758,ok
-690,8,3.5465,0.05757500828438805,1.2564042718172848,0.046343227785185494,poisson-only,5.659926493421999,,,,,,,,not-requested
-690,9,3.7065,0.057520133774824414,1.3312714825306893,0.05511779121503795,poisson-only,4.515923145831178,,,,,,,,not-requested
-690,10,3.1395,0.05883283633804275,1.2451153846153846,0.036346186271203354,poisson-only,3.524785439403579,,,,,,,,not-requested
-690,11,3.3725,0.05153371405410737,1.2613028169014084,0.04940495583113305,poisson-only,3.8634043646277285,,,,,,,,not-requested
-690,12,3.465,0.056700970009339234,1.2971933621933625,0.03868057943930661,poisson-only,5.513358780451258,,,,,,,,not-requested
-690,13,3.5425,0.045438651527433926,1.216427311220889,0.040173657771640774,poisson-only,2.52473290164455,,,,,,,,not-requested
-690,14,3.468,0.038337833450577306,1.324387543252595,0.04361087616752627,poisson-only,5.700896258003893,,,,,,,,not-requested
-690,15,3.1235,0.03473414064455586,1.219224507763727,0.035723699327377546,poisson-only,4.080965263634934,,,,,,,,not-requested
-690,16,318.6865,2.3645175623436403,21.038880585622547,1.7374354924686537,moyal-gauss,13.314186218480225,275.0013692266369,0.8990064930554792,23.292765137077286,0.7686009052291318,0.10000000004733119,153.98697332060257,1.6118970903616872,ok
-690,17,343.7315,2.537211406975016,20.929587214875564,1.750204837033621,moyal-gauss,13.84648782203584,298.5112532345354,0.9680293075869553,25.279075062996096,0.8278737682544423,0.10000000021740515,174.9129819997994,1.0589934566122903,ok
-690,18,232.7025,1.6868527023642994,14.722669476047747,1.1099532507934484,moyal-gauss,17.943341474691117,200.9158295561741,0.7140517179241361,18.146536123533377,0.6124141540068377,0.10000001063268776,100.43746549583406,3.4863193960141508,ok
-690,19,185.2665,1.3613067010084614,12.076130750837306,0.8960770279493523,moyal-gauss,16.962037693841975,160.02734728669265,0.6204534806374213,14.631330368092339,0.5322727564839198,6.218686510787208,1.9579924971766844,3.8930447124681025,ok
-690,20,136.394,0.9972811460217743,9.705813774799477,0.7775656489636706,moyal-gauss,19.788343018619774,117.30786818921085,0.4907176522935544,11.641757051370181,0.3848627250241928,3.3235395882280447,1.4498449979459984,4.271349696558815,ok
-690,21,107.1735,0.8714220909102053,7.658286775648831,0.6187756775077575,moyal-gauss,27.393161678783976,92.25338479829232,0.40049655312696125,9.097791631529844,0.3453255438074214,4.190643539036296,1.0846086218976945,6.919956852267437,ok
-690,22,111.8825,0.8636455398026744,7.78650542980359,0.5931336444836196,moyal-gauss,22.546905677586846,96.32204228320775,0.4126186484235554,9.31139930407397,0.3556407543777568,4.656244578302524,1.1388410365024435,5.082220723940468,ok
-690,23,75.511,0.6246350092148498,5.727614241633669,0.46130826007393266,moyal-gauss,22.103096757795115,65.22498793544165,0.30668256690387224,6.5382425062379985,0.2631338929097379,4.799083670745777,0.7462609942158184,1.2466203588422256,ok
-690,24,75.736,0.6328957675886108,5.507358508503221,0.3736833553392353,moyal-gauss,22.493278969315092,65.16092287265921,0.3092667164312207,6.745405362199121,0.27385084657997366,4.6235906154632875,0.7758486185539563,3.8243004939757355,ok
-690,25,53.0265,0.44877510192218045,4.616612406061121,0.309447171775137,moyal-gauss,20.77523392847119,45.45816956473158,0.257400016182993,5.150762687731239,0.20737724534006002,4.470327530708485,0.573090747639011,0.86672513609798,ok
-690,26,55.539,0.46089552418148366,4.241604620176813,0.3462053995135625,moyal-gauss,18.524746527161913,48.1313830059894,0.2528004821441343,5.241180193268757,0.20457027612709544,4.171629527290167,0.46874289269713,1.0634045366677516,ok
-690,27,49.642,0.39747201159326795,3.9374689980258655,0.2622931021562894,intermediate-both,19.796501479373138,42.797266355170386,0.24889824896959958,5.002133628450562,0.2045698286900644,4.3564169988904995,0.5135167521449521,1.0853990878295046,ok
-690,28,52.4305,0.37713007319128183,4.268015177234624,0.2867805795675447,moyal-gauss,22.09021537074142,45.36076231543373,0.261220744313562,5.3527697336106765,0.21467941593666415,4.374055108027303,0.4920686413195071,1.1347855117132386,ok
-690,29,44.3025,0.3469338439894047,3.5660514361492015,0.265864661792035,intermediate-both,16.362173274887876,38.207210035999296,0.22348779615313089,4.5587746605636426,0.18009839801332042,3.7161833305327527,0.4986462548101529,0.9748582624275599,ok
-690,30,27.77,0.2681034757033365,2.9793698235505945,0.16983340555396342,intermediate-both,17.435619902382378,23.716494057142402,0.1792985975785975,3.1079222214351137,0.1437651977859928,3.5192469869111793,0.2615696376547985,1.4987072097045675,ok
-690,31,32.903,0.30413388672200065,3.08718326596359,0.19178133203116474,intermediate-both,18.740971770450333,28.041119969937032,0.17735093127357307,3.755061660826893,0.13390454541896885,2.7332263447820404,0.3591670761473693,1.0661163532161195,ok
-690,32,27.219,0.25149542216195653,2.6728769976854396,0.1689398783346888,intermediate-both,15.014847341230109,23.441665022502153,0.16660515618303937,3.031074277782745,0.12599408687994998,3.203728936060598,0.26703326321326515,1.0335423195367988,ok
-690,33,27.162,0.265029889079068,2.6236196156394964,0.142745293591968,intermediate-both,12.662876415306057,23.303886883101285,0.1626186621014316,3.0916084184963615,0.12392132508932835,2.8829501559408133,0.22875564684818384,1.4240156903702794,ok
-690,34,23.2245,0.18045479824744526,2.4433292320609703,0.1500354733858543,intermediate-both,11.882365576286025,19.897714326005936,0.15064759830093769,2.7633254109832817,0.11432798759986444,2.958983760461443,0.2172185004195038,0.7349300155142771,ok
-690,35,20.0875,0.1902462047480902,2.1536200995644057,0.1253089757792948,intermediate-both,10.978107568654446,17.17228155942433,0.1321928102168046,2.5209952599502823,0.10271361809574289,2.453567294072756,0.18120593359789983,1.1919217066772507,ok
-690,36,20.333,0.1537806024315513,2.218615600255742,0.137358215716602,intermediate-both,10.559504645026944,17.42499839333512,0.13614114504711386,2.6326281344149236,0.10659189499465395,2.5029693289859334,0.21058603961015354,1.2729642960131982,ok
-690,37,20.3935,0.20243293236344653,2.2306939833770567,0.15280725023317274,intermediate-both,10.397247065064247,17.617586028826054,0.15219652080899093,2.452718172458816,0.11704451873116595,3.13500820537676,0.25917601465183315,1.5236883035480662,ok
-690,38,19.7915,0.18697913618481823,2.2189337720738695,0.10719311109150599,poisson-only,9.247499788039281,,,,,,,,not-requested
-690,39,15.5775,0.19619119970606613,1.9548704060343443,0.11011612545291552,poisson-only,8.260272638707793,,,,,,,,not-requested
