x_beam_mm,channel,mean,mean_error,fano,fano_error
-690,0,196.461,1.4704512196851904,13.433798458727178,1.1395363232165745
-690,1,247.406,1.9205493183489295,16.06457468290987,1.443099503087597
-690,2,397.0945,2.9091671330287596,25.5565553533227,2.252782033995694
-690,3,677.5435,4.870540782413985,42.0901124544033,3.688164041852305
-690,4,683.9125,5.315409519055215,41.3092666733683,3.5145412839168793
-690,5,407.596,2.9505704533191692,25.093952796396433,2.2023905375580157
-690,6,257.3225,1.973733821306295,16.478650307493517,1.4188870060356293
-690,7,206.0,1.648834037800819,13.510888349514563,1.1192875886167335
-690,8,3.5465,0.05757500828438805,1.2564042718172848,0.046343227785185494
-690,9,3.7065,0.057520133774824414,1.3312714825306893,0.05511779121503795
-690,10,3.1395,0.05883283633804275,1.2451153846153846,0.036346186271203354
-690,11,3.3725,0.05153371405410737,1.2613028169014084,0.04940495583113305
-690,12,3.465,0.056700970009339234,1.2971933621933625,0.03868057943930661
-690,13,3.5425,0.045438651527433926,1.216427311220889,0.040173657771640774
-690,14,3.468,0.038337833450577306,1.324387543252595,0.04361087616752627
-690,15,3.1235,0.03473414064455586,1.219224507763727,0.035723699327377546
-690,16,318.6865,2.3645175623436403,21.038880585622547,1.7374354924686537
-690,17,343.7315,2.537211406975016,20.929587214875564,1.750204837033621
-690,18,232.7025,1.6868527023642994,14.722669476047747,1.1099532507934484
-690,19,185.2665,1.3613067010084614,12.076130750837306,0.8960770279493523
-690,20,136.394,0.9972811460217743,9.705813774799477,0.7775656489636706
-690,21,107.1735,0.8714220909102053,7.658286775648831,0.6187756775077575
-690,22,111.8825,0.8636455398026744,7.78650542980359,0.5931336444836196
-690,23,75.511,0.6246350092148498,5.727614241633669,0.46130826007393266
-690,24,75.736,0.6328957675886108,5.507358508503221,0.3736833553392353
-690,25,53.0265,0.44877510192218045,4.616612406061121,0.309447171775137
-690,26,55.539,0.46089552418148366,4.241604620176813,0.3462053995135625
-690,27,49.642,0.39747201159326795,3.9374689980258655,0.2622931021562894
-690,28,52.4305,0.37713007319128183,4.268015177234624,0.2867805795675447
-690,29,44.3025,0.3469338439894047,3.5660514361492015,0.265864661792035
-690,30,27.77,0.2681034757033365,2.9793698235505945,0.16983340555396342
-690,31,32.903,0.30413388672200065,3.08718326596359,0.19178133203116474
-690,32,27.219,0.25149542216195653,2.6728769976854396,0.1689398783346888
