x_beam_mm,grupo,npe_mean,npe_var,npe_rms,var_over_mean,chi2ndf_poisson,t_mean_ns,t_rms_ns,fpt_mean_ns,fpt_rms_ns,sigma_grupo_ps,sigma_tavg_ps,sigma_est_ps,lambda_eff_cm
-690,ch_00,196.461,2639.2174790000004,51.373314853141416,13.433798458727178,20.382278351209784,2.2841637565262483,1.6170721567379958,0.3317835499664901,0.014330137765800577,,,,
-690,ch_01,247.406,3974.472164,63.04341491385123,16.06457468290987,16.308963306457372,2.249702727640239,1.614623514064242,0.29901486588874154,0.010428694645881083,,,,
-690,ch_02,397.0945,10148.36756975,100.73910645697629,25.5565553533227,13.163551386548239,2.195117933017178,1.6012272410269206,0.27115226274030935,0.0029488015681724197,,,,
-690,ch_03,677.5435,28517.88210775,168.87238408854776,42.0901124544033,11.124519740798831,2.153007775248342,1.5931760395044938,0.2564871486505393,0.0040274405492136695,,,,
-690,ch_04,683.9125,28251.92384375,168.08308613227567,41.3092666733683,11.134549434139716,2.1590066036659445,1.5948638087828955,0.25671299265488157,0.003703108324534059,,,,
-690,ch_05,407.596,10228.194784000001,101.13453803721062,25.093952796396433,11.877071896643466,2.203760566363476,1.6018656685162367,0.2713998829589844,0.003989034287572401,,,,
-690,ch_06,257.3225,4240.32749375,65.11779705848471,16.478650307493517,15.272059287523565,2.2589975360097814,1.6117530881616862,0.2998040778649096,0.011643167496430505,,,,
-690,ch_07,206.0,2783.243,52.75644984264957,13.510888349514563,17.09744116364285,2.293238205649549,1.6144190436087584,0.33233414801207584,0.016357621307660674,,,,
-690,ch_08,3.5465,4.455837750000001,2.1108855369252026,1.2564042718172848,5.659926493421999,7.331643192524387,1.7286317718004514,6.2169185863743,1.0641297130081555,,,,
-690,ch_09,3.7065,4.93435775,2.2213414303073717,1.3312714825306893,4.515923145831178,7.334178709140551,1.7465730623584128,6.154408246350722,0.9272169313892767,,,,
-690,ch_10,3.1395,3.9090397500000003,1.977129168769709,1.2451153846153846,3.524785439403579,7.354233076528824,1.7059141686700408,6.307857958754962,1.0810578086661908,,,,
-690,ch_11,3.3725,4.25374375,2.062460605684385,1.2613028169014084,3.8634043646277285,7.311925574558064,1.6999912760167175,6.230082048667719,1.0308575010184395,,,,
-690,ch_12,3.465,4.494775000000001,2.1200884415514367,1.2971933621933625,5.513358780451258,7.368705549042827,1.751483521724975,6.216979500665198,1.007002439543165,,,,
-690,ch_13,3.5425,4.3091937499999995,2.0758597616409444,1.216427311220889,2.52473290164455,7.352744493146971,1.7191368902081403,6.192113593778112,0.9836400859109411,,,,
-690,ch_14,3.468,4.592975999999999,2.143122954942156,1.324387543252595,5.700896258003893,7.293621396949523,1.743504725834518,6.18533333975859,0.9696923389567857,,,,
-690,ch_15,3.1235,3.808247750000001,1.9514732255401304,1.219224507763727,4.080965263634934,7.2920708000969885,1.6992917561936163,6.233901588185647,1.008611482660302,,,,
