side,lambda_eff_cm,lambda_eff_error_cm,v_eff_cm_ns,v_eff_error_cm_ns
left,30.700239099090357,0.02390488300565778,27.811824259713795,0.260373365707229
right,30.816131281936965,0.024106414928673898,27.815298765613413,0.26112378995645097
