x_beam_mm,side,distance_cm,mean_ns,mean_ns_error,t50_ns,t50_ns_error,fpt_mean_ns,fpt_mean_ns_error,frac_gt10,frac_gt10_error
-690,left,1.0,2.2009563190903427,0.0006699355490987797,1.7737658625469117,0.0005713030402505991,0.2554724146282841,0.0001125656977279879,0.0024867115082763485,2.1661203284713408e-05
-690,right,139.0,7.33023731745385,0.0066177658409616305,6.892805356684173,0.005269288014793851,5.346794082356228,0.005547391146137988,0.07562856307557375,0.0012119674222324547
-670,left,3.0,2.365377530666539,0.0007754325381108968,1.9424312216736201,0.000871948746634525,0.34086213473008636,0.00015892233422905113,0.0028403729099508216,2.5588762713831796e-05
-670,right,137.0,7.277348285564626,0.00798512619981998,6.836095332642623,0.008975218906033516,5.270772672991066,0.003980269317538947,0.0752641153011964,0.001122802507431886
-650,left,5.0,2.4917598488107533,0.0007076415014536085,2.070266310859864,0.0007751548793043048,0.4252148269167219,0.0002501782952697556,0.0031168170900056844,3.467100093038184e-05
-650,right,135.0,7.2124293119642084,0.006380314679880903,6.769171846600717,0.007117478944696971,5.19737570463046,0.00527368164840264,0.07207342762563948,0.0008285657399824246
-600,left,10.0,2.7460839422029117,0.0013190138571885144,2.325794351002513,0.0011846394270835251,0.6282284538009038,0.0005042077170457945,0.00383615479851752,4.3473516465662584e-05
-600,right,130.0,7.05548561071769,0.007421065091707955,6.612000964127196,0.008286250377765947,5.003659341477725,0.003363169250259666,0.06641570314600699,0.0009269805223006554
-550,left,15.0,2.977230187203547,0.0010697834974641481,2.555957643693011,0.001053759199965673,0.8231698927593672,0.0007738611938857883,0.0044779509635812795,5.825267711242374e-05
-550,right,125.0,6.893684988592844,0.005379844669763036,6.455017099326762,0.007997539562388798,4.8171882138516,0.003971209076968122,0.05984852497219427,0.0010360226179534267
-500,left,20.0,3.1798398452592576,0.001422715544597918,2.75361889900448,0.0013780983966853837,1.0074348246756895,0.0008291272937492283,0.0053611906631135485,5.9920363084804046e-05
-500,right,120.0,6.712755827282967,0.006155105887827061,6.267041252899498,0.005401579957286019,4.643132251638759,0.00538609539686968,0.05312969513421429,0.0005359935993064571
-450,left,25.0,3.3814709719041285,0.0015873271863997094,2.959452424070049,0.0013808926005441959,1.1920747549067001,0.001148664164329731,0.006013394798643124,6.476877075022338e-05
-450,right,115.0,6.535492771193328,0.0057798787418887184,6.103613566479025,0.006715632362075326,4.44640915118777,0.0035460319141511457,0.04721093932756311,0.0005883657987653768
-400,left,30.0,3.5679660396378536,0.0018598646863004897,3.1432839637348646,0.0021186570340747442,1.3732015826416775,0.0012882427205061701,0.006972412339380278,9.915140814794791e-05
-400,right,110.0,6.372569766265799,0.006511619739455271,5.931778137655151,0.006527741575509016,4.26965151107776,0.002501734423315988,0.043409361027788786,0.0007064578272887653
-350,left,35.0,3.7602088816554096,0.001224599099665548,3.3330576726680734,0.0013295129334720563,1.5547698137123303,0.0018660481223211514,0.008088511154829049,9.458207392124643e-05
-350,right,105.0,6.203657880052308,0.00472093880534734,5.769719409180468,0.005691813613128213,4.0768975375670164,0.0027571807831337104,0.03889218204570902,0.0004575499631852081
-300,left,40.0,3.941008955030704,0.0017652207367613996,3.515813770521971,0.0021736233150725925,1.7339492805951082,0.0011057622794867434,0.008920926718710653,7.579134675067717e-05
-300,right,100.0,6.032485966401883,0.0034552306622682638,5.602048507016576,0.002960665105606748,3.899289776729965,0.0034699634455405896,0.03436245777682511,0.00037839258572831835
-250,left,45.0,4.125060622889313,0.001611476544607275,3.6948674722451997,0.001157027690553873,1.9126470769051145,0.0014054977106991448,0.01019690054607164,0.00011847518899314178
-250,right,95.0,5.847166868245629,0.005515355865707485,5.415855159012821,0.004557614295669325,3.718318007530044,0.002899832144454263,0.030699583116206356,0.0006353636031845342
-200,left,50.0,4.300539416901906,0.002790773026428713,3.8769289909537648,0.002897774941145669,2.0911900908826784,0.0014093300888687094,0.011373877427929207,0.0001594790276340973
-200,right,90.0,5.681044823622009,0.0051717352862247256,5.24700205682137,0.0052297960193875516,3.534485927276417,0.0016327005400461594,0.02728033187087082,0.00044985306804788444
-150,left,55.0,4.480032381887245,0.0024391468604414526,4.045625815560391,0.001931612859384226,2.2729897057475315,0.0017286487507867437,0.013155737789960554,0.00016702195111489664
-150,right,85.0,5.519661184845437,0.003761427445667648,5.08524909258677,0.00428854436565701,3.352441922173235,0.0025537493481635606,0.025527529102478564,0.0003683467919736878
