estimator,intercept_ns,intercept_error_ns,slope_ns_per_cm,slope_error_ns_per_cm,velocity_cm_ns,velocity_error_cm_ns,chi2_ndf,n_points,scope
mean_ns,2.284102426580291,0.00024787249445199015,0.03892021529676536,7.793892335649987e-06,25.69358859849651,0.005145219822815543,3357.5294994719025,62,combined
t50_ns,1.8560768519172477,0.0002366977275757069,0.0388895978016278,7.652827711242484e-06,25.713816972366402,0.005060052615913301,4143.245930828483,62,combined
fpt_mean_ns,0.2259840783212842,6.070463907009273e-05,0.037143882387821354,4.281459897107104e-06,26.922333792653767,0.003103253754313306,742.633694700275,62,combined
mean_ns,2.28887746298134,0.00037296368553414033,0.03887053655472795,1.130833872376596e-05,25.726426456502484,0.007484412882044414,3595.955118341671,31,left
t50_ns,1.8578697061508718,0.00036222505818240874,0.03882182833274951,1.0648071513677977e-05,25.758704392508353,0.007065111001991141,4441.110822465955,31,left
fpt_mean_ns,0.22611118910623298,8.768679794382767e-05,0.03713093690591496,5.8499367684742165e-06,26.931720105363137,0.004243061791891456,746.1164285606991,31,left
mean_ns,2.280328768848157,0.00033173709573606016,0.038953249487916126,1.0779650279616344e-05,25.671799224611924,0.007104234468954618,3339.4436715470374,31,right
t50_ns,1.8546580088498936,0.0003129535547779797,0.03896041046208439,1.1121080772582263e-05,25.667080714490496,0.007326557252265813,4128.198563496329,31,right
fpt_mean_ns,0.22586056563640222,8.415710118788869e-05,0.037158631932888625,6.286197645169436e-06,26.911647388043715,0.0045526954475581406,789.9741663959593,31,right
