x_beam_mm,group,var_over_mean,chi2ndf_poisson,chi2ndf_gaussian
-690,nearest_top,21.038880585622547,13.314186218480225,5.623166761041375
-690,nearest_top_3,54.603280764712686,10.351746770406839,
-690,nearest_end_all,183.62278973206966,8.240490431192459,
-690,nearest_end_SUM4,92.81884040066092,9.595735713215555,
-670,nearest_top,22.04137885700112,12.705474681368756,5.203620513146549
-670,nearest_top_3,61.42174814590057,10.493667603136432,
-670,nearest_end_all,159.4201789019715,8.977200672555863,
-670,nearest_end_SUM4,82.78352584563234,10.092672608941626,
-650,nearest_top,19.915641355518584,13.562970879881346,5.049962992543182
-650,nearest_top_3,56.80067018980681,10.549131558273032,
-650,nearest_end_all,127.05257219496468,9.454643045086783,
-650,nearest_end_SUM4,65.20433396093313,10.506690010410711,
-600,nearest_top,25.960459632334594,12.407194980845414,5.746772464786308
-600,nearest_top_3,69.5533919267891,10.427389770900797,
-600,nearest_end_all,103.44312464646775,9.671537326863099,
-600,nearest_end_SUM4,52.413084789321616,10.667909631255688,
-550,nearest_top,18.944506773949794,12.560141074866115,4.947826475415824
-550,nearest_top_3,53.54005190994441,10.385396930388467,
-550,nearest_end_all,62.93237154196984,10.399340603391485,
-550,nearest_end_SUM4,31.775122371445526,10.851220843865029,3.6617264486732672
-500,nearest_top,24.669087381092403,13.001029735141625,5.436083259854011
-500,nearest_top_3,66.2617184598512,10.809596055326809,
-500,nearest_end_all,59.76743047646429,10.588682093726389,
-500,nearest_end_SUM4,30.205618771397425,11.411436962893546,5.031171077943774
-450,nearest_top,21.947317560935904,12.703735022163157,5.804699604326563
-450,nearest_top_3,61.133613784620955,10.628516273467127,
-450,nearest_end_all,46.63821044620335,11.142548968823963,
-450,nearest_end_SUM4,23.812930101248785,12.222485147749316,4.834470629008397
-400,nearest_top,24.269075027949008,12.766982302156338,5.57392839775719
-400,nearest_top_3,64.32247655526389,10.591826997438968,
-400,nearest_end_all,38.87107617902512,10.780042868221836,2.4482126107840156
-400,nearest_end_SUM4,20.33513128482364,14.269340291193933,5.451715750999076
-350,nearest_top,20.775217642577086,14.457015088971213,5.183962506487738
-350,nearest_top_3,58.77378892965308,10.788524536267476,
-350,nearest_end_all,30.851928989357003,11.519909022238265,4.796901543918938
-350,nearest_end_SUM4,16.221123984269454,16.034131287706817,5.252151691871563
-300,nearest_top,23.68061808914705,11.930843973017598,4.723720884142478
-300,nearest_top_3,62.59934101881514,10.257982240918926,
-300,nearest_end_all,25.943011835809617,12.351439998137375,4.92452231367533
-300,nearest_end_SUM4,13.644770543321268,19.7216773547347,4.99456937086714
-250,nearest_top,21.474117007530925,13.58363626537801,4.9823751492027
-250,nearest_top_3,59.709028388515534,10.46874440961612,
-250,nearest_end_all,21.00743132236043,12.348888335628635,4.915885382820243
-250,nearest_end_SUM4,11.020951097054523,17.016409948946666,5.432779382427295
-200,nearest_top,23.53902316683689,12.705849533903368,5.310878018632464
-200,nearest_top_3,61.99315455600713,10.597810584505341,
-200,nearest_end_all,18.629709048255258,15.914490999016264,5.301624252396199
-200,nearest_end_SUM4,9.754453171230665,22.0096439607133,6.1460563650539735
-150,nearest_top,20.454370128237365,13.45887242619143,5.7635718185854365
-150,nearest_top_3,58.40807109686711,10.10804252186398,
-150,nearest_end_all,16.227651782768476,15.36799851196514,5.678065804662605
-150,nearest_end_SUM4,8.99754147235111,22.288380335019145,6.785883057715403
-100,nearest_top,26.538854291122416,12.437376374932116,5.653486436032845
-100,nearest_top_3,68.74786451664879,10.798452898145642,
-100,nearest_end_all,14.75524235498379,18.325789438463662,5.83662847673547
-100,nearest_end_SUM4,8.022593216046136,24.2448971783984,7.379359310383909
-50,nearest_top,19.694520695009093,12.497522256497247,4.5786329802609504
-50,nearest_top_3,55.532846617272625,10.684779921373748,
-50,nearest_end_all,11.233773759843748,19.98422996808753,5.8846757525676185
-50,nearest_end_SUM4,6.032977285963891,21.969063045555984,6.289011830882648
0,nearest_top,22.386228669028235,11.82478105050793,4.623133962972955
0,nearest_top_3,59.261552279286526,10.377399518331812,
0,nearest_end_all,10.174056195402374,20.82363233699761,6.280407596193771
0,nearest_end_SUM4,5.620664558796405,22.728047941249276,6.696242825414944
50,nearest_top,21.518136574828176,14.665678620544668,5.525948527795571
50,nearest_top_3,59.92520965746705,10.629058351676004,
50,nearest_end_all,11.86610494034234,21.81586818685016,6.200346333070329
50,nearest_end_SUM4,6.419689378819135,22.255152021412755,7.126445026656286
100,nearest_top,23.825093863891126,12.385015281840769,5.060081899691547
100,nearest_top_3,62.87148114537551,10.386720948945266,
100,nearest_end_all,13.935250398536844,20.599750607201223,6.210528462228245
100,nearest_end_SUM4,7.465685608740077,23.24117387908485,7.031510823402097
150,nearest_top,21.773338267344574,13.677116432339126,5.264907141927728
150,nearest_top_3,59.70641250280223,10.664555423608235,
150,nearest_end_all,15.793489342344685,14.785151568286325,5.1277461570929255
150,nearest_end_SUM4,8.697473312525613,20.263419974850716,5.810392474963144
200,nearest_top,25.813163360126627,13.132990473582803,5.937336475278477
200,nearest_top_3,67.48602511691324,10.621606550869254,
200,nearest_end_all,20.497111799203463,14.302280598804918,6.033618558404123
200,nearest_end_SUM4,10.962351607982104,23.533698596279326,7.251059241845947
250,nearest_top,21.648812589085605,12.998449963498901,5.301148320045081
250,nearest_top_3,59.19953223236578,10.57871226272528,
250,nearest_end_all,20.549137124928286,12.034482737332567,4.744696139328086
250,nearest_end_SUM4,10.726863166988457,18.066060513283137,5.546828869912072
300,nearest_top,23.091119070340177,12.041389778881097,4.967309236556124
300,nearest_top_3,60.42505157820507,10.32295288452581,
300,nearest_end_all,25.493476370891862,12.080014618851287,5.594366436795895
300,nearest_end_SUM4,13.265433642380172,19.05180751915967,6.441776524694
350,nearest_top,22.578288175819814,13.8626907239558,6.114620483434522
350,nearest_top_3,63.605705943956615,10.26491388333436,
350,nearest_end_all,32.46295210237051,12.149062286060596,5.824007669058732
350,nearest_end_SUM4,16.936875156737294,14.340223191821048,5.445974226756156
400,nearest_top,21.0854570475937,12.681200071052588,5.418493703628667
400,nearest_top_3,56.20906430099409,10.16260343567136,
400,nearest_end_all,33.61072534633554,10.997543862448117,3.7266367884671943
400,nearest_end_SUM4,17.85356419144114,14.279443088435617,5.053021983427258
450,nearest_top,21.99749988705475,14.52911843504875,5.246761661735172
450,nearest_top_3,61.95809160177956,10.780098626449606,
450,nearest_end_all,45.628345972183226,10.340613701822228,
450,nearest_end_SUM4,23.129604886531315,11.54643055190736,5.047860529180608
500,nearest_top,21.773161728633827,12.426590159507413,4.699925986041646
500,nearest_top_3,57.62095167923028,10.527135673806228,
500,nearest_end_all,51.765108366879424,10.156935366875375,
500,nearest_end_SUM4,26.30665422926962,11.349655424975653,5.1965479457770085
550,nearest_top,21.67593393567198,12.989331306096746,5.39680862255594
550,nearest_top_3,60.72814710160071,10.316803942979556,
550,nearest_end_all,72.80541224014976,10.279271276176212,
550,nearest_end_SUM4,36.324509592573754,10.691508513955569,2.5388675680516006
600,nearest_top,23.731996936547418,13.106420271075637,5.295484100496885
600,nearest_top_3,60.98896377436709,10.293217735558967,
600,nearest_end_all,89.3174836087685,9.59444746456942,
600,nearest_end_SUM4,45.0188421231349,10.518572591685329,
650,nearest_top,23.69866149179074,13.545859571690402,5.53267833582738
650,nearest_top_3,68.31610384642731,10.65701408979246,
650,nearest_end_all,143.63274885988798,9.305610501126566,
650,nearest_end_SUM4,73.63689857248862,10.377476951168351,
670,nearest_top,22.214870950207946,13.855481126529355,5.44592653404923
670,nearest_top_3,61.45814955302441,10.395189750091962,
670,nearest_end_all,158.74422760776477,9.056273959215757,
670,nearest_end_SUM4,82.77784556748813,9.886864339441535,
690,nearest_top,20.808227863151906,14.326429458567645,5.280487341117086
690,nearest_top_3,56.224112777873124,10.577658488145191,
690,nearest_end_all,188.77911350422994,8.392128758824434,
690,nearest_end_SUM4,97.87546444457371,9.773741825379656,
