gid,face,local_id,mean_x,mean_y,mean_z,pred_x,pred_y,delta_x
0,END_L,0,-699.5576324873416,-25.39225011896101,0.0011063070041948345,-699.75,nan,0.19236751265839303
1,END_L,1,-699.546197435415,-17.953323039951012,-0.007602345222601637,-699.75,nan,0.2038025645849757
2,END_L,2,-699.5296113801376,-10.56932031533327,-0.0017316532422537749,-699.75,nan,0.2203886198624332
3,END_L,3,-699.5091055078248,-3.444647943377484,-0.013635551504970974,-699.75,nan,0.2408944921752436
4,END_L,4,-699.5091878295718,3.445198380262032,-0.00866279225437935,-699.75,nan,0.24081217042817116
5,END_L,5,-699.5297891458443,10.570116664292929,-0.00647832863524209,-699.75,nan,0.22021085415565267
6,END_L,6,-699.5459815687179,17.96268927486789,-0.001944027525396728,-699.75,nan,0.20401843128206565
7,END_L,7,-699.5581520382605,25.388862533351052,0.0029426951263695606,-699.75,nan,0.19184796173954055
8,END_R,0,699.5584943551775,-25.380572682419643,0.0013637739555050158,699.75,nan,-0.1915056448225414
9,END_R,1,699.54633518585,-17.9572493117351,-0.0017286815187218024,699.75,nan,-0.20366481414998816
10,END_R,2,699.5296873408122,-10.570510371441095,-0.005119342284000196,699.75,nan,-0.22031265918781173
11,END_R,3,699.5090208766484,-3.449379662849202,-0.00697289717095631,699.75,nan,-0.24097912335162164
12,END_R,4,699.5090139504149,3.448049532573745,-0.00906724034688014,699.75,nan,-0.2409860495851035
13,END_R,5,699.529872016722,10.56524385262103,-0.005476642613431666,699.75,nan,-0.2201279832779619
14,END_R,6,699.546259046818,17.950837954068902,-0.01199215523405685,699.75,nan,-0.2037409531819776
15,END_R,7,699.5583016107577,25.384558911091666,-0.0024251031435070427,699.75,nan,-0.19169838924233318
16,TOP,0,-691.9782986177223,29.506627751181252,0.002311595618864157,-692.0,29.75,0.02170138227768348
17,TOP,1,-672.2566203337534,29.51706739501751,-0.0032078691208335653,-672.0,29.75,-0.25662033375340343
18,TOP,2,-652.4543263658825,29.53164235267851,-0.0023540735987839026,-652.0,29.75,-0.4543263658824799
19,TOP,3,-632.5393752692736,29.543675730114536,0.0036399526658127857,-632.0,29.75,-0.5393752692735916
20,TOP,4,-612.6319384761571,29.553062352173338,-0.02141164674042522,-612.0,29.75,-0.6319384761570745
21,TOP,5,-592.7437397872534,29.56171738547472,-0.011332494890044311,-592.0,29.75,-0.7437397872533893
22,TOP,6,-572.7706485654005,29.56909754372474,-0.024133486928677846,-572.0,29.75,-0.7706485654005064
23,TOP,7,-552.8311509682409,29.577408037098163,0.009414764382098272,-552.0,29.75,-0.8311509682408769
24,TOP,8,-532.8596496473768,29.587823808918916,0.08977568377479922,-532.0,29.75,-0.8596496473768411
25,TOP,9,-512.8259446632477,29.586781144402675,0.041021264538942295,-512.0,29.75,-0.8259446632476966
26,TOP,10,-492.8405139733061,29.59497813729804,-0.04086583654823038,-492.0,29.75,-0.8405139733060878
27,TOP,11,-472.9876105827639,29.607883512550316,0.06512409828255185,-472.0,29.75,-0.9876105827639208
28,TOP,12,-452.7686254669278,29.60826649231011,0.07378660475231728,-452.0,29.75,-0.7686254669278014
29,TOP,13,-432.6592654952381,29.608961216383236,0.003091618592054898,-432.0,29.75,-0.6592654952381167
