material_a,material_b,arithmetic_mean_difference,GLS_constant,minimum_difference,maximum_difference,peak_to_peak,fractional_peak_to_peak,chi_square,covariance_rank,dof,p_value,position_dependence
EJ-200,EJ-204,-0.00041432442767488524,-0.0004137522740157416,-0.00048756823834378293,-0.00032067946793795654,0.0001668887704058264,0.4027973232048528,8.152326084817236,7,6,0.22715462477818557,NOT_RESOLVED
EJ-200,EJ-230,-0.0006364681700604669,-0.0006335883874102223,-0.0007403751329729258,-0.0004938170534439235,0.00024655807952900233,0.38738477606127325,21.755895128778548,7,6,0.0013405641016616611,RESOLVED
EJ-204,EJ-230,-0.00022214374238558162,-0.00022369391012093225,-0.00031457751741076345,-0.00014611312687928812,0.00016846439053147533,0.7583575783965437,11.30920210964515,7,6,0.07927751330695558,NOT_RESOLVED
