event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
0,14522.0,1.452109490517127,0.01835122456187731,1.4337582659552497,14394,3622,7910.0,4751.0,4732.8929106125015,4819.0,68.0,542,315
1,16392.0,1.616548200558681,0.020265768142911894,1.5962824324157692,16255,4185,8811.0,5190.0,5271.865477390117,5257.0,67.0,645,329
2,21022.0,2.1012665740757517,0.026165782118396,2.0751007919573556,20846,5283,11320.0,6768.0,6800.3001992691115,6853.0,85.0,802,439
3,17329.0,1.7444149257421921,0.0216266337371547,1.7227882920050375,17173,4389,9444.0,5633.0,5661.866640980517,5710.0,77.0,682,371
4,19130.0,1.9012832359613487,0.023318582996370706,1.877964652964978,18968,4857,10292.0,6053.0,6173.859596992089,6133.0,80.0,698,395
5,13980.0,1.3906559876894018,0.017347310773329325,1.3733086769160725,13862,3519,7639.0,4524.0,4561.693683013846,4577.0,53.0,542,274
6,15979.0,1.5934161793023645,0.020207758093430853,1.5732084212089337,15862,4035,8719.0,5213.0,5216.4980058824885,5270.0,57.0,608,314
7,16915.0,1.6900132049423555,0.021100586969489587,1.668912617972866,16775,4311,9099.0,5462.0,5447.3946570904145,5535.0,73.0,643,337
8,14896.0,1.4930561834766827,0.018797044029924444,1.4742591394467581,14754,3744,8126.0,4816.0,4864.250717274753,4885.0,69.0,553,311
9,15566.0,1.5598281398113802,0.019483420972615333,1.540344718838765,15417,3990,8404.0,5014.0,5033.141292553455,5093.0,79.0,599,343
10,15616.0,1.540136293042536,0.019465373732208947,1.520670919310327,15461,3972,8502.0,5036.0,5083.896290146203,5109.0,73.0,575,320
11,18866.0,1.8829673565034635,0.02349650352578644,1.8594708529776771,18713,4803,10147.0,6045.0,6088.864390402092,6120.0,75.0,720,369
12,18761.0,1.8619948000649977,0.0235198573857688,1.8384749426792288,18601,4693,10180.0,6126.0,6109.7985116125255,6209.0,83.0,732,409
13,15571.0,1.5620713207239372,0.01925092562914877,1.5428203950947883,15438,4034,8427.0,4990.0,5043.5700511589175,5049.0,59.0,584,338
14,15715.0,1.5745218416076583,0.019636628235369137,1.5548852133722892,15590,4118,8332.0,5005.0,4990.987352515883,5077.0,72.0,583,321
15,16539.0,1.65990842736662,0.0205328454682655,1.6393755818983546,16407,4191,9104.0,5351.0,5447.7888059438865,5420.0,69.0,653,311
