face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,85647028.0,0.4470777574020754,7.005253821767513e-05,19314230.0,0.2255096347301158,5.362390261060679e-05,0.3935348018441187
-Z,85957385.0,0.44869782192496854,6.953287483990905e-05,19319527.0,0.22475703512851164,5.52550423277335e-05,0.3936427302391605
-Y,9923487.0,0.05180063356744439,2.0161879276976084e-05,5716303.0,0.5760377375412493,0.00015864794782425318,0.11647185357044736
-X_SENSOR,17150.0,8.952305431363705e-05,6.859148387423706e-07,0.0,0.0,0.0,0.0
+X_SENSOR,5259.0,2.745199665512637e-05,3.917851040632205e-07,0.0,0.0,0.0,0.0
+Y_SENSOR,1965961.0,0.010262322646151149,7.912123235496902e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,8054495.0,0.04204448940839172,2.2096885017681576e-05,4728776.0,0.5870977634227844,0.0002066192895885283,0.09635061434627341
