name,stage,events,x_mm,scint_air_finish,scint_air_sigma_rad,reflector_R,surface_loss,runtime_s,n_gen_total,n_gen_per_event,edep_mev_per_event,bar_to_sipm_entering_total,bar_to_sipm_entering_per_event,npe_end,npe_l,npe_r,recorded_over_generated,recorded_over_entering,paired_fraction,sigma_end_ps,detected_time_p95_ns,detected_time_max_ns,steps_per_generated_photon,speed_gate,missing_rindex,max_superluminal_fraction,root_path,log_path,audit_dir,boundary_TotalInternalReflection,boundary_FresnelReflection,boundary_FresnelRefraction,boundary_Absorption,boundary_NoRINDEX,boundary_SurfaceLossKilled
rough_R0_ground_s0p20_R085,plus_reflector,20,0.0,ground,0.2,0.85,0.0,130.1661750940002,436809,21840.45,2.100043269230769,24737,1236.85,762.35,383.75,378.6,0.03490541632612881,0.6163641508671222,1.0,50.41287931476138,9.578564224783685,26.095986964075983,38.87241563246179,PASS,0,0.0,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R085/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R085/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R085/audit,5136,2614,2814063,3123654,0,0
rough_R0_ground_s0p20_R095,plus_reflector,20,0.0,ground,0.2,0.95,0.0,208.51687673299966,406815,20340.75,1.9558413461538462,42498,2124.9,1326.05,656.15,669.9,0.06519179479616041,0.6240528966068991,1.0,46.44750547865929,10.750515774515147,27.687151747134568,67.9244841021103,PASS,0,0.0,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R095/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R095/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_26/raw/rough_R0_ground_s0p20_R095/audit,8579,2708,4429739,135431,0,0
