method,sigma_core_mean,max_abs_bias
A_end,14.741252392363872,135.95812795477053
R_end,21.350337986913793,55.62600699242994
dt_end_pool,20.610996153497652,10.310478701639337
dt_end_weighted,37.411715568718655,18.369241742798184
local_R,3.0011865575960313,4.542439858790085
x_top_centroid_raw,4.378556251874465,57.88567023631087
