event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
328,5080,4993,87,0.017125984251968505
329,6140,6071,69,0.011237785016286646
330,6403,6293,110,0.017179447134155864
331,5404,5319,85,0.015729089563286454
332,4734,4655,79,0.016687790452049007
333,9837,9691,146,0.014841923350615025
334,4510,4454,56,0.012416851441241685
335,4738,4674,64,0.013507809202195019
336,4852,4771,81,0.01669414674361088
337,4870,4806,64,0.013141683778234086
338,5288,5204,84,0.01588502269288956
339,7241,7125,116,0.01601988675597293
340,5633,5555,78,0.0138469731936801
341,4548,4473,75,0.016490765171503958
342,5221,5131,90,0.017238076996743918
343,4899,4820,79,0.016125739946927946
344,5164,5067,97,0.018783888458559255
345,5028,4941,87,0.017303102625298328
346,5051,4958,93,0.018412195604830726
347,4531,4463,68,0.015007724564113882
348,8057,7935,122,0.015142112448802285
349,5055,4994,61,0.012067260138476756
350,4878,4802,76,0.015580155801558016
351,5330,5259,71,0.013320825515947467
352,4911,4834,77,0.015679087762166564
353,5136,5044,92,0.01791277258566978
354,5318,5235,83,0.01560737119217751
355,4970,4896,74,0.01488933601609658
356,11147,11000,147,0.013187404682874316
357,7519,7409,110,0.014629605000664982
358,5298,5216,82,0.015477538693846734
359,5634,5549,85,0.01508697195598154
360,4573,4510,63,0.0137765143232014
361,5232,5162,70,0.013379204892966361
362,5192,5118,74,0.014252696456086287
363,8034,7924,110,0.013691809808314663
364,4665,4587,78,0.016720257234726688
365,5682,5596,86,0.015135515663498769
366,4644,4579,65,0.013996554694229113
367,4967,4898,69,0.013891685121803906
368,4760,4691,69,0.014495798319327732
369,4431,4361,70,0.01579778830963665
370,4778,4720,58,0.012138970280452072
371,4993,4909,84,0.016823552974163828
372,6170,6080,90,0.014586709886547812
373,6410,6291,119,0.018564742589703587
374,4677,4596,81,0.01731879409878127
375,6833,6730,103,0.015073906044197278
376,4736,4675,61,0.012880067567567568
377,5754,5657,97,0.016857838025721238
378,5035,4954,81,0.01608738828202582
379,5741,5654,87,0.015154154328514196
380,5228,5152,76,0.014537107880642693
381,4917,4828,89,0.018100467764897293
382,5139,5069,70,0.013621327106440942
383,6225,6136,89,0.01429718875502008
384,5477,5385,92,0.01679751688880774
385,7005,6917,88,0.012562455389007852
386,9825,9686,139,0.014147582697201018
387,6226,6123,103,0.016543527144233856
388,4655,4571,84,0.01804511278195489
389,6982,6873,109,0.015611572615296476
390,5855,5768,87,0.014859094790777114
391,5271,5190,81,0.015367103016505406
392,4857,4771,86,0.01770640312950381
393,4786,4713,73,0.015252820727120768
394,5741,5669,72,0.012541369099460024
395,4605,4528,77,0.016720955483170468
396,6564,6463,101,0.015386959171237051
397,4583,4521,62,0.013528256600480034
398,5061,4992,69,0.013633669235328987
399,6732,6621,111,0.016488413547237075
400,4945,4867,78,0.01577350859453994
401,6059,5960,99,0.016339329922429445
402,5425,5330,95,0.017511520737327188
403,5191,5113,78,0.015026006549797726
404,7098,6989,109,0.01535643843336151
405,5641,5545,96,0.017018259173905335
406,4545,4476,69,0.015181518151815182
407,6999,6896,103,0.01471638805543649
408,4880,4811,69,0.014139344262295081
409,4541,4475,66,0.014534243558687513
410,5437,5372,65,0.011955122310097481
411,5384,5300,84,0.015601783060921248
412,5234,5156,78,0.014902560183416125
413,6191,6086,105,0.016960103375868195
414,4581,4530,51,0.011132940406024885
415,5707,5619,88,0.015419660066584896
416,5298,5226,72,0.013590033975084938
417,5240,5154,86,0.016412213740458016
418,4775,4702,73,0.015287958115183246
419,4689,4625,64,0.01364896566432075
420,4498,4424,74,0.0164517563361494
421,4265,4205,60,0.01406799531066823
422,4990,4926,64,0.01282565130260521
423,4838,4770,68,0.014055394791236048
424,5134,5040,94,0.018309310479158552
425,4913,4848,65,0.013230205577040504
426,4208,4140,68,0.016159695817490494
427,5069,4988,81,0.015979483132767803
428,5032,4961,71,0.014109697933227345
429,4355,4271,84,0.01928817451205511
430,4878,4792,86,0.017630176301763018
431,4646,4588,58,0.01248385708136031
432,10786,10595,191,0.01770814018171704
433,4204,4149,55,0.013082778306374882
434,4909,4835,74,0.015074353228763496
435,5206,5123,83,0.015943142527852477
436,4882,4813,69,0.01413355182302335
437,6285,6188,97,0.01543357199681782
438,5370,5282,88,0.01638733705772812
439,4411,4343,68,0.015416005440943096
440,6319,6218,101,0.01598354169963602
441,4974,4882,92,0.018496180136710897
442,4767,4684,83,0.017411369834277324
443,5901,5822,79,0.013387561430266056
444,4683,4611,72,0.015374759769378604
445,5196,5117,79,0.015204003079291763
446,5402,5333,69,0.012773047019622362
447,5061,4968,93,0.018375815056312982
448,4815,4758,57,0.011838006230529595
449,5056,4990,66,0.01305379746835443
450,4529,4464,65,0.014351954073746963
451,4808,4742,66,0.01372712146422629
452,4799,4722,77,0.016045009376953533
453,5163,5093,70,0.013558008909548712
454,4650,4579,71,0.015268817204301075
455,4518,4454,64,0.01416555998229305
456,4677,4604,73,0.015608295916185589
457,4835,4761,74,0.015305067218200621
458,5296,5208,88,0.01661631419939577
459,4548,4487,61,0.013412489006156552
460,6969,6868,101,0.014492753623188406
461,4963,4895,68,0.013701390288132179
462,4518,4446,72,0.01593625498007968
463,5278,5199,79,0.014967790829859795
464,7059,6949,110,0.01558294375973934
465,4499,4434,65,0.014447655034452101
466,6123,6027,96,0.01567858892699657
467,5892,5809,83,0.014086897488119483
468,5309,5214,95,0.017894142022979845
469,6422,6321,101,0.01572718779196512
470,5477,5401,76,0.0138762096037977
471,5413,5340,73,0.01348605209680399
472,4627,4544,83,0.017938188891290254
473,4655,4593,62,0.013319011815252416
474,12501,12292,209,0.01671866250699944
475,5173,5106,67,0.012951865455248405
476,4949,4866,83,0.0167710648615882
477,5173,5085,88,0.017011405374057608
478,5388,5289,99,0.018374164810690423
479,5082,5004,78,0.015348288075560802
480,5759,5665,94,0.016322278173293975
481,5020,4926,94,0.018725099601593624
482,5472,5403,69,0.012609649122807017
483,6146,6059,87,0.014155548324113244
484,5564,5474,90,0.016175413371675055
485,5031,4959,72,0.014311270125223614
486,4791,4720,71,0.014819453141306617
487,4884,4810,74,0.015151515151515152
488,5153,5074,79,0.015330875218319426
489,5927,5833,94,0.015859625442888478
490,5131,5048,83,0.016176183979731047
491,5904,5821,83,0.014058265582655827
492,5122,5041,81,0.015814135103475204
493,4718,4652,66,0.013988978380669776
494,5068,4986,82,0.01617995264404104
495,22133,21793,340,0.015361677133691772
496,4634,4576,58,0.012516184721622789
497,4724,4650,74,0.015664690939881456
498,4522,4476,46,0.010172490048651039
499,5196,5113,83,0.015973826020015396
500,6281,6182,99,0.01576182136602452
501,5162,5093,69,0.01336691204959318
502,6575,6481,94,0.014296577946768061
503,9373,9229,144,0.015363277499199829
504,5163,5086,77,0.014913809800503584
505,7521,7427,94,0.012498337986969818
506,6423,6325,98,0.015257667756500079
507,8750,8601,149,0.017028571428571428
508,4841,4768,73,0.015079529022929148
509,9234,9095,139,0.0150530647606671
510,10930,10731,199,0.0182067703568161
511,5467,5371,96,0.017559904883848544
512,4999,4921,78,0.015603120624124825
513,4774,4711,63,0.013196480938416423
514,4324,4260,64,0.014801110083256245
515,4529,4475,54,0.011923161845882093
516,5473,5387,86,0.01571350264936963
517,4995,4916,79,0.015815815815815815
518,4631,4559,72,0.01554739797020082
519,7199,7075,124,0.017224614529795804
520,4654,4582,72,0.015470562956596476
521,5950,5837,113,0.01899159663865546
522,5719,5634,85,0.014862738240951216
523,4824,4751,73,0.015132669983416253
524,5439,5335,104,0.019121161978304834
525,5315,5240,75,0.014111006585136407
526,5117,5056,61,0.011921047488762947
527,4947,4881,66,0.013341419041843541
528,4833,4756,77,0.015932133250569004
529,4462,4394,68,0.01523980277902286
530,5123,5045,78,0.015225453835643178
531,5258,5175,83,0.015785469760365156
532,5449,5358,91,0.016700311983850247
533,9161,9025,136,0.014845540879816614
534,5314,5243,71,0.013360933383515242
535,4554,4490,64,0.014053579270970576
536,4796,4734,62,0.01292743953294412
537,4225,4156,69,0.016331360946745564
538,6235,6130,105,0.016840417000801924
539,6308,6225,83,0.013157894736842105
540,5798,5711,87,0.01500517419799931
541,5263,5192,71,0.013490404712141364
542,4804,4724,80,0.01665278934221482
543,5929,5847,82,0.013830325518637207
544,5759,5656,103,0.017885049487758292
545,5152,5076,76,0.014751552795031056
546,4545,4480,65,0.014301430143014302
547,6385,6280,105,0.01644479248238058
548,5915,5816,99,0.016737109044801354
549,5409,5338,71,0.013126271029765206
550,4494,4428,66,0.014686248331108143
551,5651,5560,91,0.016103344540789242
552,5401,5318,83,0.015367524532493983
553,5784,5685,99,0.01711618257261411
554,5235,5156,79,0.015090735434574976
555,5411,5330,81,0.014969506560709665
556,5768,5682,86,0.014909847434119279
557,4705,4634,71,0.015090329436769395
558,11273,11083,190,0.016854430941186906
559,9912,9757,155,0.015637610976594028
560,5489,5412,77,0.014028056112224449
561,8102,7969,133,0.01641569982720316
562,5196,5112,84,0.016166281755196306
563,5492,5414,78,0.014202476329206118
564,6258,6168,90,0.014381591562799617
565,5116,5045,71,0.013878029710711493
566,5504,5405,99,0.017986918604651164
567,4465,4395,70,0.015677491601343786
568,5453,5386,67,0.012286814597469282
569,6544,6441,103,0.01573960880195599
570,4734,4671,63,0.013307984790874524
571,4598,4538,60,0.013049151805132666
572,4922,4844,78,0.015847216578626575
573,5315,5234,81,0.015239887111947318
574,5864,5795,69,0.011766712141882674
575,4721,4648,73,0.015462825672527008
576,4290,4234,56,0.013053613053613054
577,4646,4560,86,0.018510546706844596
578,4667,4598,69,0.014784658238697236
579,5342,5259,83,0.015537251965555972
580,7234,7129,105,0.01451479126347802
581,8259,8147,112,0.013560963797069864
582,6195,6102,93,0.015012106537530266
583,4950,4877,73,0.014747474747474747
584,4581,4507,74,0.016153678236192973
585,6237,6125,112,0.017957351290684626
586,4683,4609,74,0.01580183642963912
587,5809,5716,93,0.01600964021346187
588,5420,5337,83,0.015313653136531366
589,9303,9137,166,0.01784370633129098
590,4596,4519,77,0.016753698868581374
591,4626,4548,78,0.016861219195849545
592,5423,5356,67,0.01235478517425779
593,4517,4434,83,0.018375027673234446
594,4757,4688,69,0.01450494008829094
595,4629,4561,68,0.0146899978397062
