event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,photon_equivalent_energy_MeV,equivalent_minus_nonoptical_MeV
0,35988,3.4511547416955013,0.05485373385965784,3.3963010078358433,3.460384615384615,0.06408360754877185
1,23563,2.2809273029650177,0.036152064690547464,2.24477523827447,2.265673076923077,0.020897838648606726
2,17175,1.6606892699545048,0.026217294958344683,1.6344719749961603,1.6514423076923077,0.01697033269614745
3,18068,1.7520544398042186,0.028012145747558385,1.7240422940566602,1.7373076923076922,0.013265398251032012
4,16282,1.5632572304184298,0.02523105721039161,1.5380261732080382,1.565576923076923,0.027550749868884727
5,17004,1.6234680835812818,0.025895803586692922,1.5975722799945888,1.635,0.03742772000541117
6,20027,1.9315453267407716,0.030464030712092364,1.9010812960286791,1.925673076923077,0.02459178089439784
7,17679,1.7129017605686416,0.026656420885223252,1.6862453396834183,1.699903846153846,0.013658506470427767
8,18548,1.7741014751212119,0.028374686280183217,1.7457267888410286,1.7834615384615384,0.03773474962050982
9,23703,2.2924247765052055,0.03575977723985022,2.256664999265355,2.2791346153846153,0.022469616119260127
10,21768,2.0931084410607417,0.033542773333635624,2.059565667727106,2.0930769230769233,0.03351125534981714
11,19792,1.8922666825921344,0.03025094532948036,1.862015737262654,1.903076923076923,0.0410611858142691
12,44447,4.268568150152992,0.06654625005802253,4.2020219000949695,4.27375,0.07172809990503026
13,15686,1.5182807065012005,0.02434091524247594,1.4939397912587247,1.5082692307692307,0.014329439510506026
14,15610,1.5174557669080186,0.024031090565424105,1.4934246763425945,1.5009615384615385,0.007536862118943999
15,15295,1.4646559689977043,0.023332944303608,1.4413230246940962,1.470673076923077,0.029350052228980683
16,28897,2.7650835618948757,0.04350049782927092,2.7215830640656047,2.7785576923076922,0.056974628242087544
17,19457,1.8787841570120767,0.02948051965622357,1.8493036373558531,1.8708653846153847,0.021561747259531527
18,24726,2.3487604809154883,0.03684691905772805,2.3119135618577604,2.3775,0.06558643814223952
19,17834,1.7204290717572828,0.027333296085118457,1.6930957756721643,1.7148076923076923,0.02171191663552796
20,17427,1.6611136985948687,0.02607437366277181,1.635039324932097,1.675673076923077,0.04063375199098007
