arm,detected,matched,orphan,orphan_fraction,orphan_fraction_se,matched_over_incident,matched_over_incident_se,incident_spectrum_pde,incident_spectrum_pde_se,incident_mean_wavelength_nm,incident_mean_wavelength_nm_se
left,794729,782796,11933,0.015015181275629806,0.00013108005787664035,0.613902275481035,0.0004221153669685419,0.6136485889875647,4.514748253752638e-05,419.5519871447991,0.031547027621997965
right,793881,781862,12019,0.01513954862252655,0.00012905635492254476,0.6130457521054625,0.00044767611464963195,0.6136781365481169,4.513687371798876e-05,419.5381396386143,0.03186344315505009
top,9510815,9365628,145187,0.01526546358014534,4.1927865353215246e-05,0.6122184596753545,0.0001222495693429584,0.6122624089330707,2.757920601421869e-05,420.0083395023445,0.012976045099854689
all,11099425,10930286,169139,0.01523853713142798,3.8819796643345647e-05,0.6123978693593988,0.00011394964849321186,0.612462602315513,2.6651638199402755e-05,419.94213828245546,0.012280763624646383
