face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape_fraction,conditional_escape_se,escape_contribution_to_all_encounters,escape_share,compatible_with_0p226172_3se
+Z,17663652,0.4475063607629516,0.0001609835213355923,3991875,0.22599375259431062,0.00011932092705887678,0.10113364177864279,0.39367199784144224,True
-Z,17728821,0.4491574090300121,0.0001690141120340135,3996317,0.22541357939143275,0.00011829416415118756,0.10124617927963686,0.3941100604096368,False
-Y,2026992,0.051353582668839756,4.391552973902191e-05,1170199,0.5773081492181519,0.00033820182109559494,0.02964684176626924,0.11540305701006617,False
-X_SENSOR,1465,3.711558733820866e-05,1.0111747355891623e-06,0,0.0,0.0,0.0,0.0,False
+X_SENSOR,1470,3.724226169772473e-05,1.0296461056135347e-06,0,0.0,0.0,0.0,0.0,False
+Y_SENSOR,375004,0.0095006783031929,2.155967119501335e-05,0,0.0,0.0,0.0,0.0,False
OPEN_+Y_OR_+/-X_UNRESOLVED,1673883,0.04240761138596773,7.470630491061459e-05,981713,0.5864884224285688,0.0005344090840399566,0.024871573100720024,0.09681488473885475,False
