run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,1976,14,1,13,0,13,1,0,3.65345771777,0
x0mm,0,1969,3,0,9,20,9,1,1,6.09203398653,0
x0mm,0,1966,4,0,38,0,38,1,0,8.0422269988,0
x0mm,0,1964,5,0,5,0,5,1,0,7.90011973888,0
x0mm,0,1951,3,0,18,0,18,1,0,3.29497840755,0
x0mm,0,1922,11,1,9,0,9,1,0,3.17674303399,0
x0mm,0,1921,2,0,112,0,112,1,0,5.12146701519,0
x0mm,0,1905,13,1,14,0,14,1,0,6.8409507818,0
x0mm,0,1866,2,0,51,0,51,1,0,6.42123494527,0
x0mm,0,1845,15,1,23,0,23,1,0,5.24322663015,0
x0mm,0,1844,15,1,46,0,46,1,0,10.387667473,0
x0mm,0,1816,5,0,36,0,36,1,0,3.11535599303,0
x0mm,0,1795,2,0,73,0,73,1,0,5.34246723029,0
x0mm,0,1793,13,1,101,0,101,1,0,4.87302125098,0
x0mm,0,1780,15,1,19,0,19,1,0,5.00421073962,0
x0mm,0,1779,12,1,47,0,47,1,0,7.6364219371,0
x0mm,0,1777,5,0,31,0,31,1,0,5.61322063169,0
x0mm,0,1776,14,1,3,0,3,1,0,4.39546248074,0
x0mm,0,1746,15,1,7,0,7,1,0,7.78228216555,0
x0mm,0,1738,11,1,25,0,25,1,0,3.31405318231,0
x0mm,0,1736,1,0,10,0,10,1,0,4.7903594917,0
x0mm,0,1727,14,1,16,0,16,1,0,5.99467154345,0
x0mm,0,1715,11,1,62,0,62,1,0,5.17610670028,0
x0mm,0,1713,14,1,4,0,4,1,0,9.88877210887,0
x0mm,0,1699,8,1,74,0,74,1,0,5.07797992426,0
x0mm,0,1696,2,0,19,0,19,1,0,4.38847506033,0
x0mm,0,1693,8,1,85,0,85,1,0,4.64024228681,0
x0mm,0,1690,15,1,31,0,31,1,0,3.29971501858,0
x0mm,0,1686,7,0,28,0,28,1,0,6.17772574089,0
x0mm,0,1678,4,0,21,0,21,1,0,7.60372979518,0
x0mm,0,1670,9,1,25,0,25,1,0,6.24764923909,0
x0mm,0,1647,9,1,17,0,17,1,0,3.52686216665,0
x0mm,0,1621,5,0,26,0,26,1,0,6.76299897868,0
x0mm,0,1597,1,0,21,0,21,1,0,4.53640663417,0
x0mm,0,1594,4,0,48,0,48,1,0,7.65170660027,0
x0mm,0,1586,11,1,68,0,68,1,0,3.56597897098,0
x0mm,0,1582,12,1,53,0,53,1,0,5.78061286702,0
