cell_id,material,x_mm,face,outcome,count,secant_q10,secant_median,secant_q90,fixed_distance_mm,path_q10_mm,path_median_mm,path_q90_mm,absolute_path_status
EJ204_xp200,EJ-204,200,+Z,NON_ESCAPE,68571215,1.3703323055841041,2.203856749311295,6.259780907668231,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ204_xp200,EJ-204,200,+Z,ESCAPE,20031072,1.0217113665389528,1.1188811188811187,1.2426219322771048,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ204_xp200,EJ-204,200,-Z,NON_ESCAPE,68870004,1.3703323055841041,2.211166390270868,6.3391442155309035,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ204_xp200,EJ-204,200,-Z,ESCAPE,20028781,1.0217113665389528,1.1188811188811187,1.2426219322771048,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ204_xp200,EJ-204,200,-Y,NON_ESCAPE,4294205,1.2678288431061808,1.6240357287860332,3.3472803347280333,30.0,38.034865293185426,48.721071863580995,100.418410041841,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,-Y,ESCAPE,5874053,1.007302946361118,1.0596026490066226,1.2066365007541477,30.0,30.21908839083354,31.788079470198678,36.199095022624434,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,-X_SENSOR,NON_ESCAPE,4258,1.000250062515629,1.000250062515629,1.2095554883580284,900.0,900.2250562640661,900.2250562640661,1088.5999395222257,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,-X_SENSOR,ESCAPE,0,nan,nan,nan,900.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,+X_SENSOR,NON_ESCAPE,15907,1.000250062515629,1.0007505629221918,1.0635469290082424,500.0,500.1250312578145,500.3752814610959,531.7734645041212,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,+X_SENSOR,ESCAPE,0,nan,nan,nan,500.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,+Y_SENSOR,NON_ESCAPE,2013972,1.0317255610007738,1.1052777010223818,2.4345709068776626,30.0,30.951766830023214,33.158331030671455,73.03712720632988,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,+Y_SENSOR,ESCAPE,0,nan,nan,nan,30.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ204_xp200,EJ-204,200,OPEN_+Y_OR_+/-X_UNRESOLVED,NON_ESCAPE,3389567,1.252740369558409,1.6481252575195715,3.3927056827820183,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ204_xp200,EJ-204,200,OPEN_+Y_OR_+/-X_UNRESOLVED,ESCAPE,4858154,1.0057832537088258,1.0596026490066226,1.21765601217656,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
