bin_low,bin_high,photons,observed_probability,expected_probability,probability_se
0.0,0.05,365808,0.009267698821170943,0.0025000000000000005,2.6530980918467165e-05
0.05,0.1,891714,0.02259145996430266,0.0075000000000000015,3.194958710078054e-05
0.1,0.15000000000000002,1270513,0.03218828410636826,0.012500000000000004,2.962808664263885e-05
0.15000000000000002,0.2,1560525,0.039535700976763184,0.0175,3.510111939983479e-05
0.2,0.25,1792343,0.045408780311622474,0.022499999999999992,3.7218399016039924e-05
0.25,0.30000000000000004,1961616,0.04969729008329523,0.027500000000000024,3.782900963406959e-05
0.30000000000000004,0.35000000000000003,2038375,0.051641969515714044,0.0325,3.611350253089079e-05
0.35000000000000003,0.4,2052832,0.052008235758818806,0.037500000000000006,3.624417177016628e-05
0.4,0.45,2073190,0.052524003081024444,0.04249999999999998,3.6752456154579546e-05
0.45,0.5,2092216,0.05300602435385499,0.04749999999999999,3.560083200822782e-05
0.5,0.55,2103293,0.0532866587299269,0.05250000000000005,3.738988315505365e-05
0.55,0.6000000000000001,2125210,0.05384192311742964,0.05750000000000005,3.7360377569178716e-05
0.6000000000000001,0.65,2148640,0.054435519166121944,0.062499999999999944,3.505796638136979e-05
0.65,0.7000000000000001,2181779,0.05527509148612256,0.06750000000000006,3.63005353579031e-05
0.7000000000000001,0.75,2200490,0.055749132274303594,0.0724999999999999,3.33298860277569e-05
0.75,0.8,2243334,0.056834579526124904,0.07750000000000012,3.8955213266377325e-05
0.8,0.8500000000000001,2295806,0.05816395092463035,0.08250000000000002,3.673688877763308e-05
0.8500000000000001,0.9,2380512,0.060309966584064005,0.08749999999999991,3.6460365074255426e-05
0.9,0.9500000000000001,2545022,0.06447780636086176,0.09250000000000003,4.029300845688289e-05
0.9500000000000001,1.0,3148069,0.07975592485747932,0.09749999999999992,4.3820046744298174e-05
