event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
138,17741,18779,372,331,4300,1.705493418816086,0.0,1.705493418816086,0.02712587403955981,0.0
139,17918,18923,319,344,4345,1.7106320604223844,0.0,1.7106320604223844,0.027237213357989006,0.0
140,15952,16948,320,318,3747,1.5290577118285151,0.0,1.5290577118285151,0.02413212252196451,0.0
141,15948,16992,335,336,3829,1.5410229679315934,0.0,1.5410229679315934,0.024355598463341167,0.0
142,20904,22020,392,436,4958,2.0200909662586555,0.0,2.0200909662586555,0.0317631964029994,0.0
143,17235,18237,315,354,4211,1.661720939269609,0.0,1.661720939269609,0.026392859236894488,0.0
144,19801,20761,381,419,4601,1.9041328804385274,0.0,1.9041328804385274,0.029596261004178222,0.0
145,40098,42221,840,793,9492,3.835327791622988,0.0,3.835327791622988,0.06040674853860622,0.0
146,25493,26738,475,511,6117,2.4681092219901606,0.0,2.4681092219901606,0.038637496544283806,0.0
147,17507,18580,379,397,4095,1.7129095762392361,0.0,1.7129095762392361,0.02664856366468853,0.0
148,25570,26605,494,484,6010,2.453330483471095,0.0,2.453330483471095,0.0386528114492203,0.0
149,18984,19999,390,394,4585,1.8411480431166727,0.0,1.8411480431166727,0.029039040842485105,0.0
