arm,matched_ratio,matched_ratio_se,residual,residual_se
left,0.613902275481035,0.0004518034178700618,0.00025368649347027255,0.00045218438248133806
right,0.6130457521054625,0.0004309107491775313,-0.0006323844426543623,0.00042258511595159534
top,0.6122184596753545,0.00011903516132142057,-4.394925771635131e-05,0.00011533537946083606
all,0.6123978693593988,0.00011037820577148558,-6.473295611417685e-05,0.00010726924889017937
