material,x_mm,variant,bins,mean_npe,derivative_ns_pe,derivative_se_ns_pe,p0_ns,p1_ns_pe,p2_ns_pe2,chi2,ndf,chi2_ndf,unreliable,status,covariance_status
EJ-204,-650,quantile_pol1,40,2546.4486,-2.76339662167e-05,8.80138752302e-07,4.1733993095,-2.76339662167e-05,0,191.048326433,38,5.0275875377,True,0,3
EJ-204,-650,quantile_pol2,40,2546.4486,-4.80666768619e-05,1.97371941827e-06,4.26804410956,-8.39721802315e-05,7.05011351292e-09,57.2752360191,37,1.54797935187,False,0,3
EJ-204,-500,uniform_pol1,40,1472.8763,-6.36414722142e-05,1.56414143579e-06,4.21196553898,-6.36414722142e-05,0,98.4965501363,24,4.10402292235,False,0,3
EJ-204,-500,uniform_pol2,40,1472.8763,-8.55356303044e-05,3.0491118411e-06,4.27593243089,-0.000131423257762,1.55775564646e-08,28.5234038712,23,1.2401479944,False,0,3
EJ-204,-500,quantile_pol1,40,1472.8763,-4.35659527574e-05,1.23979616551e-06,4.18312201805,-4.35659527574e-05,0,275.706537149,38,7.25543518812,True,0,3
EJ-204,-500,quantile_pol2,40,1472.8763,-8.679199305e-05,3.12743773795e-06,4.28466714461,-0.000142506979884,1.89136680501e-08,49.0517367052,37,1.32572261365,False,0,3
EJ-204,-200,uniform_pol1,40,882.5701,-0.000110858671594,2.64625387203e-06,4.21540354146,-0.000110858671594,0,148.68786471,29,5.12716774862,True,0,3
EJ-204,-200,uniform_pol2,40,882.5701,-0.00014978615032,4.6022952165e-06,4.28733006137,-0.000240087786981,5.11583366922e-08,41.8110658358,28,1.49325235128,False,0,3
EJ-204,-200,quantile_pol1,40,882.5701,-8.84959316291e-05,2.28788756404e-06,4.19645603105,-8.84959316291e-05,0,208.994392008,38,5.49985242128,True,0,3
EJ-204,-200,quantile_pol2,40,882.5701,-0.00014677684369,4.95261260849e-06,4.28910715652,-0.000246966399289,5.67601120858e-08,32.9461440498,37,0.890436325671,False,0,3
EJ-204,0,uniform_pol1,40,796.2842,-0.000122542187685,2.80344935357e-06,4.21404751555,-0.000122542187685,0,88.1188166788,23,3.83125289908,False,0,3
EJ-204,0,uniform_pol2,40,796.2842,-0.000148803535792,4.6346408312e-06,4.2570138305,-0.000208052622604,3.72034801221e-08,37.4852133696,22,1.70387333498,False,0,3
EJ-204,0,quantile_pol1,40,796.2842,-7.70684187192e-05,2.08801572326e-06,4.17910500491,-7.70684187192e-05,0,329.112885227,38,8.6608654007,True,0,3
EJ-204,0,quantile_pol2,40,796.2842,-0.00015614471996,5.16462232148e-06,4.27828846925,-0.000255983571608,6.26904638117e-08,48.8763702498,37,1.32098297972,False,0,3
EJ-204,200,uniform_pol1,40,882.2443,-0.000111328436764,2.36097872069e-06,4.2141489632,-0.000111328436764,0,156.676197653,28,5.5955784876,True,0,3
EJ-204,200,uniform_pol2,40,882.2443,-0.000143915503943,4.10033823124e-06,4.26855193511,-0.00020591847939,3.51393460104e-08,62.1874375118,27,2.30323842636,False,0,3
EJ-204,200,quantile_pol1,40,882.2443,-8.56939438211e-05,2.05150682624e-06,4.19257424469,-8.56939438211e-05,0,248.961185875,38,6.5516101546,True,0,3
EJ-204,200,quantile_pol2,40,882.2443,-0.00014805594851,4.82336759101e-06,4.28638268022,-0.00024321964661,5.39327361477e-08,44.8795369289,37,1.21296045754,False,0,3
EJ-204,500,uniform_pol1,40,1474.5422,-5.28155165359e-05,1.22933730355e-06,4.1960401365,-5.28155165359e-05,0,384.887795205,32,12.0277436002,True,0,3
EJ-204,500,uniform_pol2,40,1474.5422,-9.14910155399e-05,2.65178355187e-06,4.29214388256,-0.000147635050688,1.90377851337e-08,113.94424265,31,3.67562073065,False,0,3
EJ-204,500,quantile_pol1,40,1474.5422,-5.31921354762e-05,1.43682630779e-06,4.19723618047,-5.31921354762e-05,0,255.005388506,38,6.71066811857,True,0,3
EJ-204,500,quantile_pol2,40,1474.5422,-9.40808494125e-05,3.19933043803e-06,4.30409263308,-0.00016171907419,2.29353302937e-08,50.3992553064,37,1.36214203531,False,0,3
EJ-204,650,uniform_pol1,40,2535.6018,-3.41355598458e-05,1.05201746809e-06,4.18816598181,-3.41355598458e-05,0,81.4415765441,23,3.54093811061,False,0,3
EJ-204,650,uniform_pol2,40,2535.6018,-4.45226981233e-05,1.91814938494e-06,4.24312926545,-6.85031054912e-05,4.7287407999e-09,39.5017203843,22,1.79553274474,False,0,3
EJ-204,650,quantile_pol1,40,2535.6018,-2.34446329901e-05,8.07749894002e-07,4.16183555129,-2.34446329901e-05,0,142.771850114,38,3.75715395036,False,0,3
EJ-204,650,quantile_pol2,40,2535.6018,-4.28706239862e-05,1.9931510012e-06,4.24206128317,-6.93071046164e-05,5.21305842073e-09,29.1129902351,37,0.786837573923,False,0,3
EJ-230,-650,uniform_pol1,40,2249.6033,-2.93309098375e-05,4.79403296557e-07,4.16527047612,-2.93309098375e-05,0,144.512865173,33,4.37917773253,False,0,3
EJ-230,-650,uniform_pol2,40,2249.6033,-4.6677233568e-05,1.88284029799e-06,4.22497426896,-6.61145500434e-05,4.32016535436e-09,53.7522790099,32,1.67975871906,False,0,3
