specification,common_residual_ps,common_residual_bootstrap_se_ps,chi2,ndf,chi2_ndf,p_value,specification_envelope_low_ps,specification_envelope_high_ps,specification_envelope_contains_zero
linear,7.18341618989,0.514972433632,1.39133566805,2,0.695667834025,0.498741260357,-0.182585320922,7.18341618989,True
pol2,-0.182585320922,0.283893726103,1.40221860394,2,0.701109301972,0.496034746159,-0.182585320922,7.18341618989,True
