material,abs_x_mm,descriptive_residual_ps,residual_bootstrap_se_ps,mixing_shift_ps,mixing_se_ps,projected_mixing_ps,projected_mixing_se_ps,residual_minus_projected_mix_ps,residual_minus_projected_mix_se_ps,projected_fraction_bootstrap_se,original_chain_residual_ps,original_chain_minus_raw_mix_ps,raw_mixing_to_residual_ratio,projected_mixing_to_residual_ratio,cherenkov_shift_ps,scintillation_shift_ps,observed_shift_ps,common_residual_ps,common_residual_se_ps,common_fit_chi2,common_fit_ndf,common_fit_chi2_ndf,common_fit_p_value,residual_rank_high_to_low,mixture_rank_high_to_low
EJ-200,500,6.36846028608,0.899582572822,-0.587563961412,0.316779464517,4.15694804047,0.297794288651,2.21151224561,0.864231973324,0.0980803832007,37.982060497,38.5696244584,-0.0922615412546,0.652739885897,-29.589537057,23.9131728345,-6.26392818397,7.18341618989,0.514972433632,1.39133566805,2,0.695667834025,0.498741260357,3,1
EJ-204,500,7.85848858277,0.920300033963,-0.368660808214,0.285632335437,3.76721160906,0.262649466592,4.09127697372,0.877371622949,0.0587978978884,62.0570950299,62.4257558381,-0.0469124316122,0.479381190082,-28.7535894637,31.0584025934,1.93615232147,7.18341618989,0.514972433632,1.39133566805,2,0.695667834025,0.498741260357,1,2
EJ-230,500,7.33846365338,0.859273607144,-0.148396581343,0.236730433995,2.80012364661,0.215731123606,4.53834000677,0.826686188334,0.0483275065555,53.7197347664,53.8681313478,-0.0202217505397,0.381568101836,-29.915673723,36.9529269581,6.88885665383,7.18341618989,0.514972433632,1.39133566805,2,0.695667834025,0.498741260357,2,3
