material,abs_x_mm,descriptive_residual_ps,residual_bootstrap_se_ps,mixing_shift_ps,mixing_se_ps,projected_mixing_ps,projected_mixing_se_ps,residual_minus_projected_mix_ps,residual_minus_projected_mix_se_ps,projected_fraction_bootstrap_se,original_chain_residual_ps,original_chain_minus_raw_mix_ps,raw_mixing_to_residual_ratio,projected_mixing_to_residual_ratio,cherenkov_shift_ps,scintillation_shift_ps,observed_shift_ps
EJ-200,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0
EJ-200,200,0.381786985677,0.928866132575,-0.325844520598,0.31833874698,0.325915100485,0.303611999602,0.0558718851914,0.868199628339,20.2928550648,5.62629757244,5.95214209304,-0.853472048086,0.853656915276,-3.31497108377,2.2872753911,-1.35354021327
EJ-200,500,6.36846028608,0.899582572822,-0.587563961412,0.316779464517,4.15694804047,0.297794288651,2.21151224561,0.864231973324,0.0980803832007,37.982060497,38.5696244584,-0.0922615412546,0.652739885897,-29.589537057,23.9131728345,-6.26392818397
EJ-200,650,0.474336490429,0.591753534675,-11.8076664765,0.44468148237,0.360029564354,0.193626645434,0.114306926075,0.552949842009,110.085442461,50.8619371346,62.6696036111,-24.8930173299,0.759017220094,-179.683908613,159.569099618,-31.9224754708
EJ-204,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0
EJ-204,200,1.05909019575,0.893022506298,0.232069162061,0.277820339978,0.757874548491,0.268391135346,0.301215647261,0.831821721474,10.0439662372,10.3668720078,10.1348028457,0.219121244812,0.715590184416,-3.91961170079,3.99370904819,0.306166509461
EJ-204,500,7.85848858277,0.920300033963,-0.368660808214,0.285632335437,3.76721160906,0.262649466592,4.09127697372,0.877371622949,0.0587978978884,62.0570950299,62.4257558381,-0.0469124316122,0.479381190082,-28.7535894637,31.0584025934,1.93615232147
EJ-204,650,0.946229564605,0.57237613894,-10.0427719386,0.335866826204,0.609367626059,0.172664600771,0.336861938547,0.532703727398,51.1667156269,95.3351209434,105.377892882,-10.6134624347,0.643995547014,-155.520724964,151.256462817,-14.3070340856
EJ-230,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0
EJ-230,200,1.73274965476,0.851578433191,0.0216514043249,0.238494031432,0.375769866012,0.233902819437,1.35697978875,0.793753040593,3.43059166532,9.03028359769,9.00863219337,0.0124954024751,0.216863333362,-3.78619747808,5.44329774759,1.67875167383
EJ-230,500,7.33846365338,0.859273607144,-0.148396581343,0.236730433995,2.80012364661,0.215731123606,4.53834000677,0.826686188334,0.0483275065555,53.7197347664,53.8681313478,-0.0202217505397,0.381568101836,-29.915673723,36.9529269581,6.88885665383
EJ-230,650,1.36442896605,0.546704020156,-7.32995724825,0.267261977563,0.346492182659,0.149991014453,1.01793678339,0.509516213122,0.474982293884,82.6932629504,90.0232201987,-5.37217944698,0.253946662876,-136.044307644,143.56814554,0.193880647221
