cell_id,material,x_mm,Npe_end,V1,V1_se,V1_status,V1_nonoptical,V1_nonoptical_se,V2_escape,V2_se,V2_lower_3se,V2_status,V5_matched,V5_expected,V5_difference,V5_difference_se,V5_status,orphan_fraction,orphan_fraction_se
EJ200_xm650,EJ-200,-650,1294.5072,0.9998619971009334,6.875746006029564e-05,PASS,1.0125670494890504,7.050156898517726e-05,0.2627308979643827,3.309902802705627e-05,0.2626316008803015,PASS,0.5998576845960981,0.599840079436775,1.7605159323141883e-05,4.327307748952563e-05,PASS,0.014009881887724932,1.4196812508593663e-05
EJ200_xm500,EJ-200,-500,828.77705,1.000061783546372,7.195069527378447e-05,PASS,1.0125465032747425,7.365777351016266e-05,0.25661686908740156,3.15849124726879e-05,0.2565221143499835,PASS,0.5996951821762404,0.5996361242903449,5.905788589555261e-05,4.896736028270709e-05,PASS,0.014019442204939123,1.4259499327619378e-05
EJ200_xm200,EJ-200,-200,570.0736,1.0000064443859737,7.410704687395384e-05,PASS,1.0126084703485267,7.594854091781117e-05,0.25619167935149184,3.2859394919707645e-05,0.25609310116673273,PASS,0.5996562969326767,0.5996633330264608,-7.0360937840519e-06,5.027300170691063e-05,PASS,0.013997933222215297,1.4689007358649622e-05
EJ200_xp0,EJ-200,0,528.4047,1.0000896192744542,7.099491892506956e-05,PASS,1.0126764945073248,7.279455525207531e-05,0.25642678462877533,3.1512091869880565e-05,0.2563322483531657,PASS,0.5996200195634742,0.5996175469111183,2.472652355867133e-06,4.763491760941081e-05,PASS,0.013997387502384736,1.4424899318714661e-05
EJ200_xp200,EJ-200,200,569.17025,1.0000746330060282,7.11594231283914e-05,PASS,1.0126793849061033,7.3005636344114e-05,0.256163013561464,3.3027370913906476e-05,0.25606393144872225,PASS,0.599684909579869,0.5996590514586982,2.585812117072983e-05,4.906316643641484e-05,PASS,0.013989925385915935,1.419386208848578e-05
EJ200_xp500,EJ-200,500,828.11745,0.9999682114782411,7.250023527682488e-05,PASS,1.012451145896506,7.433903898012241e-05,0.25659896473864685,3.1022423548653034e-05,0.2565058974680009,PASS,0.5996639827191548,0.5996227858148259,4.1196904328910655e-05,4.89113391554606e-05,PASS,0.013997828757522555,1.4796965942050249e-05
EJ200_xp650,EJ-200,650,1301.2704,1.00002412524838,7.15142440104432e-05,PASS,1.012730553531967,7.330794513302236e-05,0.2627059775805072,3.297563225082485e-05,0.26260705068375473,PASS,0.5997975547030812,0.5998605947638347,-6.304006075352753e-05,4.571085575432983e-05,PASS,0.014008250892998425,1.4263541646251905e-05
EJ204_xm650,EJ-204,-650,1273.2243,1.0000944787853927,6.763980847275078e-05,PASS,1.0157546360843182,6.969760918605493e-05,0.26305157743232066,3.3453771652165654e-05,0.26295121611736416,PASS,0.612694513011239,0.6126641973196852,3.031569155376168e-05,4.8071941874004626e-05,PASS,0.015250888022904334,1.5719798685184164e-05
EJ204_xm500,EJ-204,-500,736.43815,1.0000282325745624,6.839507135742138e-05,PASS,1.015724769210916,7.059532965017655e-05,0.25702876190090224,3.150651355899114e-05,0.2569342423602253,PASS,0.6124108548206469,0.6124748978919307,-6.404307128371478e-05,4.9438896417967955e-05,PASS,0.015247127547535218,1.606756649562281e-05
EJ204_xm200,EJ-204,-200,441.28505,1.000035726193101,7.223567832748052e-05,PASS,1.0160767142096858,7.459505785623556e-05,0.25662547345124803,3.068650439907611e-05,0.2565334139380508,PASS,0.6124805274034817,0.6124953165152944,-1.4789111812740785e-05,5.119831062081971e-05,PASS,0.015250613330167171,1.594342057650792e-05
EJ204_xp0,EJ-204,0,398.1421,1.0001294365625233,7.105969724372916e-05,PASS,1.0161862225187808,7.336978089632725e-05,0.2569143528671191,3.2351924272920104e-05,0.25681729709430035,PASS,0.6124953915312875,0.6124844600234017,1.0931507885780789e-05,5.02581080506617e-05,PASS,0.015251247934188045,1.60886513979108e-05
EJ204_xp200,EJ-204,200,441.12215,0.9998918158474533,6.489342535713557e-05,PASS,1.0159282865169916,6.705854575829589e-05,0.25658881117702614,3.170516408268457e-05,0.2564936956847781,PASS,0.6125084478217111,0.6125065954405378,1.8523811733395235e-06,5.00421433627191e-05,PASS,0.015239319607097656,1.574133279950721e-05
EJ204_xp500,EJ-204,500,737.2711,1.00017843252816,6.962895974712598e-05,PASS,1.0158808834015245,7.16646657830059e-05,0.2570307665154506,3.453240660977314e-05,0.25692716929562126,PASS,0.6124745561045092,0.6124807656450453,-6.209540536095126e-06,5.0395196065080954e-05,PASS,0.01525041088796936,1.5086634953111512e-05
EJ204_xp650,EJ-204,650,1267.8009,0.9999103662528701,7.384088886026387e-05,PASS,1.0155667516144309,7.611060880377007e-05,0.26309471456232686,3.178306593768397e-05,0.2629993653645138,PASS,0.6126477055077466,0.6126402557378067,7.449769939937845e-06,4.5998807987430816e-05,PASS,0.015226234756511043,1.5100675718641634e-05
EJ230_xm650,EJ-230,-650,1124.80165,0.9999899225743561,6.914020920679972e-05,PASS,1.0158684590853495,7.129726496455612e-05,0.2632247150178266,3.3410023115220655e-05,0.26312448494848095,PASS,0.60408684034845,0.6040739399430115,1.2900405438442952e-05,5.075849903782535e-05,PASS,0.014851387644859698,1.48086872493542e-05
EJ230_xm500,EJ-230,-500,618.9672,0.9999417631752218,7.329857198053627e-05,PASS,1.016018100447896,7.567456793921712e-05,0.2573075534688619,3.343900617892109e-05,0.25720723645032517,PASS,0.6040021318982026,0.603933927527787,6.820437041565874e-05,5.067486641509139e-05,PASS,0.01485971975192956,1.7454576729748362e-05
