cell_id,material,x_mm,face,outcome,count,secant_q10,secant_median,secant_q90,fixed_distance_mm,path_q10_mm,path_median_mm,path_q90_mm,absolute_path_status
EJ230_xp200,EJ-230,200,+Z,NON_ESCAPE,63671715,1.3693940431359124,2.2014309301045683,6.240249609984399,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ230_xp200,EJ-230,200,+Z,ESCAPE,18635603,1.0217113665389528,1.1188811188811187,1.2426219322771048,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ230_xp200,EJ-230,200,-Z,NON_ESCAPE,63925958,1.3703323055841041,2.2087244616234125,6.3191153238546605,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ230_xp200,EJ-230,200,-Z,ESCAPE,18637622,1.0217113665389528,1.1188811188811187,1.2426219322771048,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ230_xp200,EJ-230,200,-Y,NON_ESCAPE,3954907,1.2670256572695597,1.6214025131738954,3.3195020746887964,30.0,38.01076971808679,48.642075395216864,99.58506224066389,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,-Y,ESCAPE,5438977,1.007302946361118,1.0596026490066226,1.2066365007541477,30.0,30.21908839083354,31.788079470198678,36.199095022624434,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,-X_SENSOR,NON_ESCAPE,3411,1.000250062515629,1.000250062515629,1.2865873271148278,900.0,900.2250562640661,900.2250562640661,1157.928594403345,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,-X_SENSOR,ESCAPE,0,nan,nan,nan,900.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,+X_SENSOR,NON_ESCAPE,13656,1.000250062515629,1.0007505629221918,1.0772959870724481,500.0,500.1250312578145,500.3752814610959,538.647993536224,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,+X_SENSOR,ESCAPE,0,nan,nan,nan,500.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,+Y_SENSOR,NON_ESCAPE,1857988,1.0317255610007738,1.1046672190002762,2.4227740763173835,30.0,30.951766830023214,33.140016570008285,72.68322228952151,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,+Y_SENSOR,ESCAPE,0,nan,nan,nan,30.0,nan,nan,nan,EVALUABLE_FIXED_SOURCE_PLANE
EJ230_xp200,EJ-230,200,OPEN_+Y_OR_+/-X_UNRESOLVED,NON_ESCAPE,3115972,1.2519561815336464,1.6454134101192925,3.36417157275021,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
EJ230_xp200,EJ-230,200,OPEN_+Y_OR_+/-X_UNRESOLVED,ESCAPE,4493659,1.0057832537088258,1.0596026490066226,1.21765601217656,nan,nan,nan,nan,NOT_EVALUABLE_MISSING_CREATION_POINT_OR_FACE
