side,lambda_eff_cm,lambda_eff_error_cm,v_eff_cm_ns,v_eff_error_cm_ns
left,33.137681840193196,0.026848742553451137,27.677734865613626,0.2681610391614287
right,33.062629158786244,0.026922393177814256,27.666625217760792,0.26830531706280086
