x_beam_mm,channel,mean,mean_error,fano,fano_error
-690,0,214.7265,0.8249361299040348,13.918057145950783,0.9546120335806305
-690,1,271.3115,1.1408808404497275,16.99239607517558,1.095291334344758
-690,2,433.901,1.729723418718479,27.104070281008802,1.457947930702834
-690,3,740.038,2.771242415653315,44.8771516543745,2.7602957314824503
-690,4,747.963,3.129994375310228,44.92945056239412,2.8186737742179258
-690,5,445.8585,1.8811901712815389,26.06656254787113,1.4869825484473518
-690,6,282.376,1.164152820498105,17.75957101170071,1.1890613954684535
-690,7,226.9275,0.874258144160856,13.872603557303545,0.9527462799245543
-690,8,5.327,0.06827228766606429,1.4439780364182468,0.04865550506410478
-690,9,5.61,0.07048329402661373,1.4101426024955437,0.048738934753616604
-690,10,4.708,0.07496525510984563,1.2569532710280376,0.048335883010404306
-690,11,5.1145,0.05228703673499143,1.3194622641509433,0.051118576016833825
-690,12,5.196,0.055157191638748965,1.3242078521939953,0.04981831543782471
-690,13,5.287,0.04158124577258395,1.3210953281634197,0.06259488985250156
-690,14,5.2295,0.07393978702473497,1.2956936131561336,0.040497823663204126
-690,15,4.6595,0.047735427646891454,1.2148427406374074,0.03199794156285731
-690,16,350.947,1.3837207848862931,21.888336959711864,1.3534654785648796
-690,17,384.2285,1.410016288633054,23.292177149144326,1.4509043019019812
-690,18,261.744,1.1515864115028172,16.241252766061493,1.083201734413437
-690,19,210.275,1.0295567518418465,12.958085245511832,0.8400098497388672
-690,20,155.626,0.6710950987594484,10.070907971675684,0.7011731903921153
-690,21,122.8975,0.6238023788787043,8.44655093675624,0.5364561190645936
-690,22,129.5195,0.6162930245469754,8.00882199012504,0.41081223441246795
-690,23,87.5645,0.4207640137454208,6.3975565411782185,0.38731275608786747
-690,24,88.5125,0.38976232636394337,6.065988913995199,0.4141018467919817
-690,25,61.5095,0.3051974986101564,4.855671233711865,0.2605979926453462
-690,26,65.0675,0.3011022513855916,4.884265474315134,0.2888438685474371
-690,27,58.362,0.22158709823738046,4.248996881532504,0.2299616985571059
-690,28,62.2315,0.2586760573218503,4.4681055052505565,0.21556876054759314
-690,29,52.738,0.28946193277582183,3.8635017634343356,0.2373395120152855
-690,30,33.2115,0.17683366403725825,3.3033668382939645,0.2197689280032496
-690,31,39.4695,0.18914137708686532,3.3669053256311847,0.19337536172007289
-690,32,32.577,0.1610134025150498,3.0612724007735523,0.1356519676616236
-690,33,32.72,0.17094628272924905,2.9314364303178486,0.1579230763884413
-690,34,28.499,0.13475884894292073,2.796834941576898,0.15084594274035001
-690,35,24.3535,0.14048276725184727,2.4634462294947337,0.12950197405970412
-690,36,25.0405,0.19873742926150806,2.5571318364249915,0.13832604802779344
-690,37,25.011,0.14519841234451855,2.440201471352605,0.1076940567227225
-690,38,24.6605,0.17888907912888138,2.446148283692545,0.08841315349266705
-690,39,19.549,0.13097790090818914,2.2445444268249015,0.11472003054343752
-690,40,19.8915,0.12850204790503872,2.153167320212151,0.1183467847047452
-690,41,12.412,0.12484432411270406,2.2275423783435384,0.25484358626199444
-690,42,13.6455,0.10627044694898341,2.043738210399033,0.19666437421202176
-690,43,15.752,0.11368840148220442,2.15029812087354,0.12341181677332201
-690,44,14.917,0.09622096281066078,1.802380572501173,0.10772592075365987
-690,45,11.046,0.06985096917535799,1.8415611080934273,0.08593812713894908
-690,46,9.942,0.06579313674012896,1.6960004023335342,0.08701060371987224
-690,47,12.275,0.10387872483662862,1.769887983706721,0.06982937933545155
-690,48,10.9125,0.10722547566496908,1.7177405498281788,0.0752293081646861
-690,49,10.413,0.0664042642891975,1.5304360895035052,0.05215660242810869
-690,50,8.147,0.07266759213960862,1.5720376825825455,0.07074139067863384
-690,51,7.2995,0.05199936740505901,1.6033700595931228,0.07956938939642051
-690,52,7.846,0.06446704584514465,1.5219581952587304,0.058447391629007896
-690,53,8.4665,0.10142737873914874,1.5895444103230378,0.05775594769557249
-690,54,7.604,0.08623834780176949,1.479245660178853,0.0636063626746249
-690,55,4.6645,0.05939818799291887,1.3433250616357595,0.04576649077638839
-690,56,6.1065,0.04863545923230082,1.3742991484483749,0.047387601809483676
-690,57,6.047,0.0738565465865026,1.3348422358194145,0.05557219915697802
-690,58,6.437,0.050995871865950074,1.4430683548236756,0.06472902724478746
-690,59,5.0135,0.057028501646106455,1.3404443502543135,0.042191766491630714
-690,60,3.318,0.05214655461192748,1.268196503918023,0.04190638930985403
-690,61,4.4215,0.054421720702404655,1.2047580572204002,0.04020584664693592
-690,62,3.995,0.04226171590907035,1.2685794743429288,0.03426955905994375
-690,63,4.4565,0.03553556409837195,1.2249764950072928,0.047554376453011825
-690,64,4.115,0.0521864067802295,1.281111786148238,0.03539982564489754
-690,65,3.168,0.029864606758537894,1.182378787878788,0.040842285481955405
-690,66,2.557,0.03513957133609064,1.234161517403207,0.05806488820005291
-690,67,2.6715,0.03601370353220078,1.230240595171252,0.04844615888237351
-690,68,3.063,0.03670723433645697,1.1769608227228208,0.03922600312244462
-690,69,2.63,0.038085775767200535,1.199277566539924,0.04118073808055047
-690,70,2.2035,0.034840048039123266,1.1886034717494893,0.049932106418307025
-690,71,2.416,0.028922764663660127,1.1614006622516555,0.03945976236287384
-690,72,3.016,0.0356916620072824,1.180286472148541,0.041367674064595544
-690,73,2.7075,0.030769730512135975,1.2036726685133887,0.04189354329611122
-690,74,2.2365,0.03387496358514268,1.1623374692600046,0.030870016894639158
-690,75,2.027,0.03585130108480978,1.2068431179082386,0.04286542651411145
-690,76,1.8785,0.022055850160802897,1.1097885280809159,0.02360212742369836
-690,77,1.927,0.037767293006682745,1.1477275557861963,0.03810132831353749
-690,78,1.625,0.03281928188059416,1.1596153846153845,0.02932754347782199
-690,79,1.4715,0.028921627310989653,1.1214323819232075,0.03363311703364408
-690,80,1.625,0.03021414795823489,1.1183846153846153,0.04351148829049238
-690,81,1.234,0.0244561906918861,1.0755623987034038,0.037477590447617434
-690,82,1.6105,0.033320414163092164,1.066618907171686,0.031094357201560983
-690,83,1.627,0.030349716030926774,1.0853540258143823,0.032563137173543484
-690,84,1.298,0.029340110859762507,1.1449892141756548,0.03372493766698047
-690,85,1.2975,0.022382735357977687,1.07745183044316,0.04705919337800195
-670,0,332.774,2.156514902873519,20.399436025651045,1.2173852516519375
-670,1,342.112,2.072467839887627,21.01800420914788,1.2868334638461236
-670,2,363.4545,2.3341815284794545,22.53619347057197,1.4947338316575032
-670,3,379.159,2.290109041301884,22.927330536793274,1.436730645947688
-670,4,379.9735,2.464208133190886,22.91432375613036,1.5337029806973859
-670,5,352.4845,2.3812576812971855,22.038086099530616,1.5087293651750107
-670,6,293.8775,2.0137835396925863,18.803676680759843,1.1887673602636184
-670,7,320.51,2.2380446117561457,19.660762222707557,1.2929557529442512
-670,8,5.3475,0.04658255264072975,1.387890369331463,0.06414852925677207
-670,9,5.617,0.0806588005444111,1.3575415702332205,0.05925398572886541
