x_beam_mm,grupo,npe_mean,npe_var,npe_rms,var_over_mean,chi2ndf_poisson,t_mean_ns,t_rms_ns,fpt_mean_ns,fpt_rms_ns,sigma_grupo_ps,sigma_tavg_ps,sigma_est_ps,lambda_eff_cm
-690,ch_00,214.7265,2988.5756977500005,54.66786714103634,13.918057145950783,15.843575359537306,2.723069011812431,1.9575069941785346,0.332841981300963,0.019744059117721046,,,,
-690,ch_01,271.3115,4610.23246775,67.89869268071367,16.99239607517558,15.168494488854908,2.688327557425086,1.9515789948371591,0.2995736521227102,0.01292283996338863,,,,
-690,ch_02,433.901,11760.483199,108.4457615538754,27.104070281008802,12.129216876199527,2.6277489136168573,1.934769759637153,0.27118011742533316,0.003163007673695111,,,,
-690,ch_03,740.038,33210.797556,182.23829881778417,44.8771516543745,11.058332239267822,2.586713456272336,1.9233974399519993,0.256631001554068,0.00366369322417083,,,,
-690,ch_04,747.963,33605.566630999994,183.31821140028612,44.92945056239412,10.926378479170047,2.593028548073119,1.9299305856776097,0.2567744886500043,0.0034263188117156724,,,,
-690,ch_05,445.8585,11621.99847775,107.80537313951471,26.06656254787113,11.82866949798626,2.638052912910809,1.9376717646777344,0.27127965645057034,0.002686071022017729,,,,
-690,ch_06,282.376,5014.8766239999995,70.81579360566398,17.75957101170071,13.46926929072386,2.689580238278075,1.9423243862678004,0.29951304029270465,0.01160410561842992,,,,
-690,ch_07,226.9275,3148.0752437500005,56.10771108992061,13.872603557303545,14.945458648668792,2.7323111835255327,1.9564851017827936,0.3317064403895006,0.016426822469812235,,,,
-690,ch_08,5.327,7.692071,2.773458310485305,1.4439780364182468,7.387818349853024,7.858960905784349,2.0503932817748423,6.150216081321084,0.8642321586474775,,,,
-690,ch_09,5.61,7.910900000000001,2.81263221911433,1.4101426024955437,6.64933879671535,7.7814791560616765,2.0707993836471124,6.073483795259724,0.8624614639737219,,,,
-690,ch_10,4.708,5.9177360000000006,2.4326397184951167,1.2569532710280376,3.4675300720680413,7.846506023757888,2.1074784396418584,6.196305399566541,0.8774079070167109,,,,
-690,ch_11,5.1145,6.7483897499999985,2.597766300112464,1.3194622641509433,5.793833497459306,7.818703911208838,2.102414781985515,6.1683648830619555,0.8693483128677109,,,,
-690,ch_12,5.196,6.880583999999999,2.6230867313148454,1.3242078521939953,5.5462095267232145,7.851709593542422,2.089054040216008,6.168569556026497,0.9164960853984145,,,,
-690,ch_13,5.287,6.984630999999999,2.642845247077475,1.3210953281634197,3.0401432802363075,7.80899222179916,2.044597550721034,6.126906023100611,0.892392713672658,,,,
-690,ch_14,5.2295,6.775829750000001,2.603042402651175,1.2956936131561336,4.197865804168624,7.822941579048053,2.083644752475296,6.149176106051885,0.894216608680277,,,,
-690,ch_15,4.6595,5.66055975,2.379193088002737,1.2148427406374074,3.589239869943775,7.749552476143819,2.0390299044485074,6.172748977988344,0.9712510853232741,,,,
