R,survival_R,npe_expected_ps
0.9,3.0235632022470344e-08,3.532449564343997e-08
0.95,0.00021839656453810063,0.00025515419974799896
0.98,0.0361536185984176,0.042238519827377134
0.99,0.19174187894767347,0.2240133483076665
0.999,0.8483893963157172,0.9911791330117747
1.0,1.0,1.1683068380111157
TIR_dielectric,N/A,748.615402573547
