x_mm,sigma_end_ps,sigma_endtop_ps,ratio,boot_end_ps,boot_endtop_ps
-690,608.6607940720421,294.7232348626753,0.48421590109480817,74.79647610154751,25.346919472946265
-670,541.1702189323933,272.02414628347145,0.5026591204891387,73.51910532889993,34.409082851755564
-650,695.3907244050592,308.9094047977452,0.4442242238160889,114.11623186529933,37.525999133547224
-600,669.1685000833395,296.3019809264328,0.4427912863345044,80.16645613428365,26.948535736327656
-550,611.4431345356775,310.98698973797786,0.5086114671548936,71.64666831361393,34.35446188573346
-500,519.8635511356654,289.34711783846126,0.5565828133293234,74.18918773315589,23.660486651670674
-450,549.7800051485643,306.89354894576525,0.5582115502051315,64.16054012631653,32.765612928486284
-400,758.3310337333361,371.42057922930655,0.4897868644525433,58.384280251094566,29.283535943979885
-350,729.7136259821731,369.9484549367745,0.5069775892410324,59.04724612730341,28.904897884037915
-300,808.9492888054453,388.69357808662676,0.48049189666833203,75.30989192481931,32.185212610299
-250,759.9130441813164,360.6651642783756,0.474613729873441,79.60639802729611,30.991487150690954
-200,810.497393964301,385.94864151298884,0.4761873935525427,72.75426717738739,45.30207157918568
-150,744.6964556340869,358.2584003945512,0.4810797710719663,67.28919462053274,34.971144820600614
-100,1025.8620055451127,509.18402592257905,0.49634748452547844,95.96399983944332,53.5550799814421
-50,773.3566756701101,417.4372373274509,0.539773238481123,77.71744776452341,40.84831233508623
0,882.4754392154288,520.1551903357789,0.589427384855296,101.03180839958543,53.154126143664875
50,791.6348874466828,372.33043297914236,0.4703310059768167,61.410924915736906,25.5425603635017
100,908.166781396745,475.73329514214504,0.5238391283267103,87.23126757363882,43.00924821234772
150,785.3812328237929,406.71541885019906,0.5178573180159618,72.00340702828447,41.98103038235944
200,825.7649203511249,461.97960522355334,0.5594565642569488,80.26554200520185,43.09285075107764
250,898.7108458561803,457.25321792894994,0.508787915531759,135.8715716788141,41.431383260347545
300,703.5364764382533,356.15044784973674,0.5062288307392327,48.42047361141145,25.892551139780014
350,685.3956928821002,364.8856018457252,0.5323721838860341,50.076863734671676,26.32926410951189
400,520.8183873950547,273.9300897946737,0.525960865484748,43.275407812619875,24.60620508767638
450,641.5189456120705,337.41373151910074,0.5259606654284789,80.27158406208696,40.17356276770862
500,738.031630768688,342.9660858480173,0.4647037763013017,72.32737441992931,36.4158421779485
550,586.9529726986269,308.7770955197501,0.5260678621322747,70.73930122533264,34.35243706571066
600,693.2466326185876,310.12174189640956,0.44734691422155565,172.53503537657798,36.96027344910191
650,518.3361200752987,280.6443505560345,0.5414331351542031,85.88806742557352,44.428517900301706
670,581.0865816816763,320.10696776572377,0.5508765438006291,216.1204146307301,85.73180621603913
690,660.1285017361881,263.99753323696916,0.39991839852791633,138.9982430857136,44.66749518129982
